报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
流动比率(%),0.92,0.91,1.08,1.42,1.77,
速动比率(%),0.7,0.6,0.72,0.86,1.11,
现金比率(%),64.47,51.98,61.33,70.51,76.74,
利息支付倍数(%),10994.92,6395.94,11654.37,13571.38,14502.19,
资产负债率(%),61.19,61.69,58.73,50.53,43.75,
长期债务与营运资金比率(%),--,--,--,--,--,
股东权益比率(%),38.81,38.31,41.27,49.47,56.25,
长期负债比率(%),--,--,--,--,--,
股东权益与固定资产比率(%),114.55,213.98,--,--,--,
负债与所有者权益比率(%),157.68,161.05,142.28,102.14,77.77,
长期资产与长期资金比率(%),--,--,--,--,--,
资本化比率(%),--,--,--,--,--,
固定资产净值率(%),86.5,79.78,--,--,--,
资本固定化比率(%),111.96,113.84,88.59,59.92,44.87,
产权比率(%),157.64,160.92,142,100.33,74.88,
清算价值比率(%),--,--,--,--,--,
固定资产比重(%),33.88,17.9,--,--,--,
