报告日期,2017-09-30,2017-06-30,2017-03-31,
基本每股收益(元),2.06,0.7,-0.57,
每股净资产(元),--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,
主营业务收入(万元),144363,135146,79377,
主营业务利润(万元),64010,61050,34203,
营业利润(万元),16131,13152,-5659,
投资收益(万元),1337,71,61,
营业外收支净额(万元),--,--,--,
利润总额(万元),17308,13893,-5721,
净利润(万元),13990,11244,-4657,
净利润(扣除非经常性损益后)(万元),--,--,--,
经营活动产生的现金流量净额(万元),46525,22719,-14742,
现金及现金等价物净增加额(万元),30257,-2856,98003,
总资产(万元),410123,364800,334465,
流动资产(万元),308207,266772,240448,
总负债(万元),167376,136697,117825,
流动负债(万元),167145,136669,117793,
股东权益不含少数股东权益(万元),242748,228103,216640,
净资产收益率加权(%),11.08,4.23,-5.74,
