报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),3.15,1.72,1.61,1.44,0.94,
每股净资产(元),10.3,7.54,5.82,4.21,2.77,
每股经营活动产生的现金流量净额(元),8.86,5.62,5.14,2.74,1.3,
主营业务收入(万元),402600,308773,191224,117515,74193,
主营业务利润(万元),181628,136010,83961,54185,37077,
营业利润(万元),31456,15305,14944,13629,9095,
投资收益(万元),251,266,230,--,0,
营业外收支净额(万元),695,883,1301,751,507,
利润总额(万元),32151,16188,16246,14380,9602,
净利润(万元),25551,13953,13013,11682,7604,
净利润(扣除非经常性损益后)(万元),25531,13653,12281,11525,7520,
经营活动产生的现金流量净额(万元),71787,45519,41645,22204,10498,
现金及现金等价物净增加额(万元),34617,9040,16906,11193,3583,
总资产(万元),214997,159455,114186,68964,39881,
流动资产(万元),121581,89917,72435,48522,29814,
总负债(万元),131562,98372,67056,34847,17447,
流动负债(万元),131529,98296,66925,34229,16799,
股东权益不含少数股东权益(万元),83434,61083,47130,34117,22435,
净资产收益率加权(%),35.2,25.79,32.03,41.31,37.77,
