报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
总资产利润率(%),5.02,1.81,-1.39,11.88,--,1.76,--,8.75,11.4,16.94,19.07,
主营业务利润率(%),44.38,44.4,43.09,45.11,45.37,45.12,43.37,44.05,43.91,46.11,49.97,
总资产净利润率(%),6.58,2.27,-1.7,13.65,--,1.79,--,10.2,14.21,21.47,19.07,
成本费用利润率(%),7.57,3.95,-6.75,8.67,5.75,2.27,-11.03,5.52,9.21,13.86,14.79,
营业利润率(%),6.58,3.49,-7.13,7.81,5.27,2.04,-12.24,4.96,7.82,11.6,12.26,
主营业务成本率(%),54.6,54.5,55.78,53.81,53.68,53.89,55.75,55.04,55.18,52.99,49.04,
销售净利率(%),5.73,3.07,-5.87,6.35,4.33,1.76,-9.73,4.52,6.81,9.94,10.25,
净资产收益率(%),8.48,2.89,-2.15,30.62,--,4.62,--,22.84,27.61,34.24,33.89,
股本报酬率(%),186.4,195.32,-43.12,455.79,146.15,35.8,-74.71,261.58,--,--,--,
净资产报酬率(%),8.48,9.25,-2.15,44.25,--,4.62,--,34.69,27.61,34.24,33.89,
资产报酬率(%),5.02,5.78,-1.39,17.17,--,1.76,--,13.29,11.4,16.94,19.07,
销售毛利率(%),45.4,45.5,44.22,46.19,46.32,46.11,44.25,44.96,44.82,47.01,50.96,
三项费用比重(%),38.21,40.81,49.89,37.24,39.98,42.89,55.37,39.09,36.15,34.39,37.49,
非主营比重(%),13.05,9.91,0.03,2.94,3.75,9.83,0.33,7.09,9.43,5.22,5.28,
主营利润比重(%),625.03,1165.55,-597.87,564.92,834.07,2035.71,-351.21,840.21,516.82,376.8,386.14,
