报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
总资产利润率(%),11.88,8.75,11.4,16.94,19.07,
主营业务利润率(%),45.11,44.05,43.91,46.11,49.97,
总资产净利润率(%),13.65,10.2,14.21,21.47,19.07,
成本费用利润率(%),8.67,5.52,9.21,13.86,14.79,
营业利润率(%),7.81,4.96,7.82,11.6,12.26,
主营业务成本率(%),53.81,55.04,55.18,52.99,49.04,
销售净利率(%),6.35,4.52,6.81,9.94,10.25,
净资产收益率(%),30.62,22.84,27.61,34.24,33.89,
股本报酬率(%),455.79,261.58,--,--,--,
净资产报酬率(%),44.25,34.69,27.61,34.24,33.89,
资产报酬率(%),17.17,13.29,11.4,16.94,19.07,
销售毛利率(%),46.19,44.96,44.82,47.01,50.96,
三项费用比重(%),37.24,39.09,36.15,34.39,37.49,
非主营比重(%),2.94,7.09,9.43,5.22,5.28,
主营利润比重(%),564.92,840.21,516.82,376.8,386.14,
