报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
应收账款周转率(次),984.2,702.45,249.37,1544.99,--,741.04,--,934.25,473.39,90.06,33.84,
应收账款周转天数(天),0.27,0.26,0.36,0.23,--,0.24,--,0.39,0.76,4,10.64,
存货周转率(次),6.16,4.14,1.59,7.11,--,3.11,--,6.15,4.89,4.12,3.26,
固定资产周转率(次),--,2.93,--,7.94,--,--,--,--,--,--,1.86,
总资产周转率(次),1.15,0.74,0.29,2.15,--,1.01,--,2.26,--,--,1.86,
存货周转天数(天),43.81,43.48,56.78,50.6,--,57.84,--,58.57,73.59,87.32,110.42,
总资产周转天数(天),235.15,243.24,311.53,167.42,--,177.44,--,159.52,--,--,193.52,
流动资产周转率(次),1.67,1.1,0.44,3.81,--,1.93,--,3.8,3.16,3,248.85,
流动资产周转天数(天),161.67,162.93,205.25,94.56,--,93.42,--,94.64,113.86,119.99,1.45,
经营现金净流量对销售收入比率(%),0.13,0.11,-0.19,0.18,0.11,0.11,-0.26,0.15,0.22,0.19,0.14,
资产的经营现金流量回报率(%),0.11,0.06,-0.04,0.33,--,0.11,--,0.29,0.36,0.32,0.26,
经营现金净流量与净利润的比率(%),2.26,3.45,--,2.81,2.63,6.45,--,3.26,3.2,1.9,1.38,
经营现金净流量对负债比率(%),0.28,0.17,-0.13,0.55,--,0.18,--,0.46,0.62,0.64,0.6,
现金流量比率(%),27.83,16.62,-12.52,54.58,--,18.3,--,46.31,62.23,64.87,62.49,</tr>
