报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
应收账款周转率(次),1544.99,934.25,473.39,90.06,33.84,
应收账款周转天数(天),0.23,0.39,0.76,4,10.64,
存货周转率(次),7.11,6.15,4.89,4.12,3.26,
固定资产周转率(次),7.94,--,--,--,1.86,
总资产周转率(次),2.15,2.26,--,--,1.86,
存货周转天数(天),50.6,58.57,73.59,87.32,110.42,
总资产周转天数(天),167.42,159.52,--,--,193.52,
流动资产周转率(次),3.81,3.8,3.16,3,248.85,
流动资产周转天数(天),94.56,94.64,113.86,119.99,1.45,
经营现金净流量对销售收入比率(%),0.18,0.15,0.22,0.19,0.14,
资产的经营现金流量回报率(%),0.33,0.29,0.36,0.32,0.26,
经营现金净流量与净利润的比率(%),2.81,3.26,3.2,1.9,1.38,
经营现金净流量对负债比率(%),0.55,0.46,0.62,0.64,0.6,
现金流量比率(%),54.58,46.31,62.23,64.87,62.49,</tr>
