报告期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业收入(万元),1109372,931596,745225,620307,543507,455039,374411,302896,239256,195966,143661,
营业成本(万元),143463,137167,131322,115808,87040,78414,60550,52385,40087,33037,27949,
营业利润(万元),302433,255887,177245,145107,130020,103240,84521,77172,44971,50764,28975,
利润总额(万元),301318,256197,179965,147853,134650,106505,86021,78069,47002,51146,28930,
所得税费用(万元),37899,33800,22672,18648,19509,12464,10477,8739,3443,9293,8407,
净利润(万元),263419,222397,157293,129205,115141,94041,75544,69330,43559,41853,20522,
基本每股收益,1.1,1.11,1.01,0.91,0.87,0.78,0.97,1.07,0.82,0.96,0.48,
货币资金(万元),491215,513312,344901,216914,132947,94939,99505,70725,38518,57249,56555,
应收账款(万元),232459,209228,179574,155983,144342,125075,116247,85456,61240,42726,14122,
存货(万元),63659,52297,55089,42993,33784,29999,17618,17713,16231,11513,9824,
流动资产合计(万元),1139322,937835,719990,541183,451373,373115,299146,214839,155334,149487,94496,
固定资产净额(万元),167689,142402,136572,130169,117949,84771,72182,48072,46198,46841,42457,
资产总计(万元),1433006,1149670,908686,722027,589251,481802,389564,299887,225436,201369,146844,
流动负债合计(万元),136488,105316,71453,55440,44001,42947,40080,32385,22991,35501,15307,
非流动负债合计(万元),9079,8578,8245,1000,1000,1000,2000,1000,--,2550,4800,
负债合计(万元),145567,113894,79698,56440,45001,43947,42080,33385,22991,38051,20107,
所有者权益(或股东权益)合计(万元),1287439,1035777,828988,665587,544250,437855,347483,266502,202445,163318,126737,
期初现金及现金等价物余额(万元),513312,344901,216914,132947,94939,99505,70725,38518,57278,56555,43143,
经营活动产生的现金流量净额(万元),259263,227729,157431,136496,95837,52736,38595,43912,11746,21887,26618,
投资活动产生的现金流量净额(万元),-264959,-47018,-29818,-45249,-46699,-49832,-13813,-7533,-20010,-16703,-7827,
筹资活动产生的现金流量净额(万元),-19489,-13224,361,-7266,-11123,-7500,3999,-4174,-10456,-4491,-5378,
现金及现金等价物净增加额(万元),-22097,168411,127987,83967,38008,-4566,28780,32206,-18759,694,13412,
期末现金及现金等价物余额(万元),491215,513312,344901,216914,132947,94939,99505,70725,38518,57249,56555,
