报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),491215,513312,344901,216914,132947,94939,99505,70725,38518,57249,56555,
结算备付金(万元),--,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,0,8004,27088,1097,
衍生金融资产(万元),--,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),112271,118452,104466,86104,83894,76895,47089,31888,20503,4805,3986,
应收账款(万元),232459,209228,179574,155983,144342,125075,116247,85456,61240,42726,14122,
预付款项(万元),45524,25063,21271,20387,35459,30863,9385,3011,3640,836,484,
应收保费(万元),--,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),16162,10764,4238,--,--,--,--,0,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,0,--,--,0,
其他应收款(万元),18631,8721,10451,18803,20947,15344,9302,6047,7198,5270,8428,
应收出口退税(万元), --,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,0,--,--,0,
存货(万元),63659,52297,55089,42993,33784,29999,17618,17713,16231,11513,9824,
待摊费用(万元),--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,0,--,--,0,
其他流动资产(万元),159401,--,--,--,--,--,--,0,--,--,0,
流动资产合计(万元),1139322,937835,719990,541183,451373,373115,299146,214839,155334,149487,94496,
发放贷款及垫款(万元),--,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),8104,7893,134,--,--,--,--,0,--,--,0,
持有至到期投资(万元),--,--,390,379,378,377,378,19080,10147,--,0,
长期应收款(万元),--,--,--,--,--,--,--,0,--,--,0,
长期股权投资(万元),--,--,--,134,134,134,3734,134,134,448,448,
其他长期投资(万元),--,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,0,--,--,0,
