报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
流动比率(%),9.22,8.65,8.08,8.35,8.13,9.18,9.4,8.91,9.11,9.68,9.67,10.08,8.79,8.94,9.47,9.76,7.73,8.94,8.69,10.26,9.52,8.9,7.03,8.69,6.63,7.32,7.97,7.46,8.56,5.71,5.08,6.63,7.51,7.96,6.62,6.76,5.52,5.72,5.28,4.21,3.8,4.1,4.37,6.17,6.37,5.51,6,6.52,6.44,4.06,2.91,3.2,4.74,3.35,2.79,1.7,1.71,1.68,2.06,2.06,2.61,2.61,2.53,2.84,3.75,4.14,1.44,1.25,1.31,0.86,
速动比率(%),8.69,8.19,7.56,7.88,7.69,8.66,8.77,8.41,8.5,8.99,8.99,9.31,8.13,8.31,8.79,8.99,7.16,8.38,8.05,9.49,8.77,8.13,6.47,7.99,6.16,6.83,7.42,7.02,8.05,5.3,4.73,6.09,6.88,7.29,6.03,6.05,5.12,5.28,4.85,3.89,3.45,3.74,3.95,5.53,5.82,5.01,5.56,5.96,5.96,3.74,2.67,2.93,4.2,2.94,2.46,1.44,1.45,1.43,1.74,1.75,2.37,2.24,2.26,2.5,3.32,3.63,1.04,0.97,0.81,0.49,
现金比率(%),250.06,324.74,392.39,359.9,459.52,517.4,518.09,487.4,474.88,481.99,469.71,482.7,400.6,397.61,383.28,391.26,264.27,296.89,285.86,302.14,269.34,228.96,162.54,221.06,171.42,206.19,230.16,248.26,281.37,175.45,156.98,218.39,244.89,305.35,247.25,167.53,160.45,199.17,197.52,161.26,233.59,260.16,272.65,369.47,378.37,311.48,323.17,351.64,346.7,200.76,127.57,153.15,195.41,108.15,30.24,29.65,29.24,31.31,41.57,38.97,69.74,55.64,80.59,61.6,129.82,189.5,17.21,32.21,13.59,12.56,
利息支付倍数(%),-6484.07,-4630.68,-4804.9,-1715.86,-1826.1,-1807.06,-1940.08,-1627.03,-2103.29,-2066.49,-2457.16,-2133.38,-2345.13,-2731.26,-5852.95,-5802.85,-13991.26,-15483.16,-28595.86,-8073.64,-10543.67,-12527.49,-13053.31,-7424.88,-13261.49,-16747.82,-9817.62,-7753.02,-12082.99,-11147.66,-6939.54,-9259.85,-8405.62,-31720.43,31118.97,10168.76,59645.15,5678.73,4309.22,13209.2,37523.87,95267.88,-9010.7,-54289.85,-12962.73,-127588.51,-13975.72,-280850.71,-48709.76,-49110.16,-130613.21,1848.36,1736.97,1341.5,1671.56,992.09,890.85,811.4,1041.76,969.36,817.28,1111.11,508.78,1011.6,1255.8,1477.23,889.71,1030.77,662.51,542.21,
资产负债率(%),9.38,9.89,10.57,10.16,10.64,9.69,9.44,9.91,9.86,9.31,9.19,8.77,9.09,8.8,8.17,7.82,9.9,8.71,8.95,7.64,8.42,8.93,11.35,9.12,12.28,11.16,10.36,10.8,9.32,12.89,14.81,11.13,10.02,9.55,10.76,10.2,12.64,13.01,14.24,18.9,18.9,16.81,18.63,13.69,14.37,15.99,14.58,13.78,13.79,15.87,21.84,20.5,16.68,25.76,29.66,37.73,38.74,39.96,35.47,32.76,29.53,31.01,33.8,32.26,31.52,31.81,57.78,64.95,61.28,66.93,
长期债务与营运资金比率(%),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,--,0,--,--,--,--,--,--,--,--,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.02,0.03,0.04,0.09,0.18,0.21,0.38,0.43,0.39,0.35,0.28,0.27,0.3,0.26,0.27,0.19,0.2,0.51,0.62,0.87,-0.5,
股东权益比率(%),90.62,90.11,89.43,89.84,89.36,90.31,90.56,90.09,90.14,90.69,90.81,91.23,90.91,91.2,91.83,92.18,90.1,91.29,91.05,92.36,91.58,91.07,88.65,90.88,87.72,88.84,89.64,89.2,90.68,87.11,85.19,88.87,89.98,90.45,89.24,89.8,87.36,86.99,85.76,81.1,81.1,83.19,81.37,86.31,85.63,84.01,85.42,86.22,86.21,84.13,78.16,79.5,83.32,74.24,70.34,62.27,61.26,60.04,64.53,67.24,70.47,68.99,66.2,67.74,68.48,68.19,42.22,35.05,38.72,33.07,
长期负债比率(%),--,--,--,--,--,--,--,--,0.09,0.1,0.1,0.11,0.12,0.12,0.13,0.14,0.14,0.15,0.16,0.17,0.18,0.19,0.19,0.21,0.42,0.45,0.48,0.51,0.28,0.29,0.3,0.33,--,0,--,--,--,--,--,--,--,--,3.03,3.27,3.41,3.48,3.54,3.73,3.84,0.74,1.03,1.59,4.21,7.52,8,7.86,9.04,8.44,9.48,7.43,8.99,10.18,9.69,10.72,10.52,12.25,10.77,8.88,13.21,4.27,
股东权益与固定资产比率(%),--,839.75,--,767.75,--,733.33,--,727.36,--,668.63,--,607,--,588.45,--,511.32,--,469.76,--,461.43,--,551.12,--,516.52,--,531.76,--,481.4,--,631.73,--,554.38,--,515.65,--,438.21,--,398.98,--,348.66,--,343.18,--,298.5,277.45,263.78,258.9,244.24,235.58,218.31,207,205.78,381.07,324.2,321.53,175.31,172.59,161.9,248.97,238.83,293.35,265.42,278.7,267.21,565.47,532.03,171.59,142.02,120.87,77.14,
负债与所有者权益比率(%),10.35,10.97,11.82,11.31,11.91,10.73,10.42,11,10.94,10.27,10.12,9.61,10,9.65,8.9,8.48,10.98,9.54,9.83,8.27,9.19,9.81,12.81,10.04,14,12.56,11.56,12.11,10.27,14.8,17.39,12.53,11.13,10.55,12.06,11.36,14.47,14.96,16.61,23.3,23.3,20.21,22.9,15.87,16.78,19.03,17.07,15.98,15.99,18.86,27.95,25.78,20.02,34.69,42.16,60.59,63.24,66.57,54.97,48.72,41.9,44.94,51.05,47.63,46.03,46.64,136.86,185.29,158.27,202.4,
长期资产与长期资金比率(%),--,--,--,--,--,--,--,--,20.21,20.63,21.23,22.73,23.25,24.55,25.9,27.13,27.24,25.75,25.89,25.29,23.49,24.28,24.27,24.77,24.23,24.29,23.6,25.87,24.92,32.1,30.76,31.79,--,26.59,--,--,--,--,--,--,--,--,37.68,39.8,37.76,39.04,41.16,41.92,42.54,47.15,49.75,48.78,46.67,47.62,50.43,70.29,70,68.58,62.92,64.06,58.27,57.75,51.36,49.41,28.58,25.28,57.48,65.33,68,123.75,
资本化比率(%),--,--,--,--,--,--,--,--,0.1,0.11,0.11,0.12,0.13,0.13,0.14,0.15,0.16,0.17,0.17,0.18,0.19,0.2,0.21,0.23,0.48,0.51,0.53,0.57,0.3,0.33,0.35,0.37,--,0,--,--,--,--,--,--,--,--,3.59,3.65,3.83,3.98,3.98,4.15,4.27,0.87,1.3,1.96,4.81,9.2,10.22,11.21,12.86,12.32,12.81,9.95,11.32,12.86,12.77,13.67,13.32,15.23,20.32,20.21,25.44,11.44,
固定资产净值率(%),--,53.19,--,55.51,--,56.01,--,56.16,--,58.1,--,58.14,--,59.03,--,62.42,--,64.55,--,64.82,--,60.6,--,62.17,--,61.23,--,63.1,--,54.99,--,57.42,--,58.22,--,60.93,--,62.24,--,65.98,--,65.15,--,69.28,71.31,72.83,74.83,76.8,77.25,79.27,81.4,83.71,77.34,80.22,81.67,74.25,75.16,76.95,69.67,71.46,68.79,71.34,70.41,71.47,54.87,56.95,55.4,58.42,63.12,68.43,
资本固定化比率(%),22.21,22.61,22.09,22.81,21.81,21.38,20.07,20.45,20.23,20.66,21.25,22.76,23.28,24.58,25.93,27.17,27.28,25.8,25.93,25.33,23.54,24.33,24.32,24.82,24.35,24.42,23.72,26.02,24.99,32.21,30.87,31.91,27.58,26.59,32.29,34.63,34.51,29.72,30.4,31.77,35.68,38.09,39.08,41.3,39.26,40.66,42.87,43.74,44.44,47.57,50.41,49.76,49.03,52.45,56.17,79.16,80.33,78.22,72.17,71.14,65.71,66.28,58.88,57.23,32.97,29.82,72.14,81.88,91.19,139.73,
产权比率(%),9.56,10.22,11.11,10.6,11.08,9.74,9.61,10.17,10.06,9.37,9.3,8.74,10,9.65,8.9,8.48,10.98,9.54,9.83,8.27,9.19,9.81,12.81,10.04,14,12.56,11.56,12.11,10.27,14.8,17.39,12.53,11.13,10.55,12.04,11.36,14.47,14.91,16.32,21.74,23.07,20.04,22.9,15.87,16.14,18.38,16.51,15.4,15.57,18.43,27.95,25.78,20.02,34.69,42.16,60.59,63.24,66.57,54.97,48.72,41.9,44.94,51.05,47.63,45.52,46.2,139.99,188.05,161.91,201.4,
清算价值比率(%),--,--,--,--,--,--,--,--,1083.24,1154.49,1159.84,1226.59,1075,1108.38,1191.69,1243.38,982.65,1136.91,1105.38,1294.55,1177.54,1108.78,872.36,1084.64,805.58,885.59,953.23,913.33,1040.17,751.06,664.91,883.2,--,1031.38,--,--,--,--,--,--,--,--,527.04,716.04,723.58,647.72,708.9,752.95,744.88,644.83,457.53,487.6,592.68,384.03,333.77,262.57,255.86,248.14,278.72,301.62,334.81,318.82,292.68,309.35,320.83,317.44,169.2,151.71,159.52,150.15,
固定资产比重(%),--,10.73,--,11.7,--,12.31,--,12.39,--,13.56,--,15.03,--,15.5,--,18.03,--,19.43,--,20.02,--,16.52,--,17.59,--,16.71,--,18.53,--,13.79,--,16.03,--,17.54,--,20.49,--,21.8,--,23.26,--,24.24,--,28.91,30.86,31.85,32.99,35.3,36.6,38.54,37.76,38.63,21.86,22.9,21.88,35.52,35.49,37.08,25.92,28.15,24.02,25.99,23.76,25.35,12.11,12.82,24.61,24.68,32.03,42.87,
