报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
流动比率(%),8.35,8.91,10.08,9.76,10.26,8.69,7.46,6.63,6.76,4.21,6.17,6.52,3.2,1.7,2.06,2.84,4.14,1.25,1.31,0.86,
速动比率(%),7.88,8.41,9.31,8.99,9.49,7.99,7.02,6.09,6.05,3.89,5.53,5.96,2.93,1.44,1.75,2.5,3.63,0.97,0.81,0.49,
现金比率(%),359.9,487.4,482.7,391.26,302.14,221.06,248.26,218.39,167.53,161.26,369.47,351.64,153.15,29.65,38.97,61.6,189.5,32.21,13.59,12.56,
利息支付倍数(%),-1715.86,-1627.03,-2133.38,-5802.85,-8073.64,-7424.88,-7753.02,-9259.85,10168.76,13209.2,-54289.85,-280850.71,1848.36,992.09,969.36,1011.6,1477.23,1030.77,662.51,542.21,
资产负债率(%),10.16,9.91,8.77,7.82,7.64,9.12,10.8,11.13,10.2,18.9,13.69,13.78,20.5,37.73,32.76,32.26,31.81,64.95,61.28,66.93,
长期债务与营运资金比率(%),--,--,0,0,0,0,0.01,0.01,--,--,0.06,0.07,0.04,0.38,0.28,0.27,0.2,0.62,0.87,-0.5,
股东权益比率(%),89.84,90.09,91.23,92.18,92.36,90.88,89.2,88.87,89.8,81.1,86.31,86.22,79.5,62.27,67.24,67.74,68.19,35.05,38.72,33.07,
长期负债比率(%),--,--,0.11,0.14,0.17,0.21,0.51,0.33,--,--,3.27,3.73,1.59,7.86,7.43,10.72,12.25,8.88,13.21,4.27,
股东权益与固定资产比率(%),767.75,727.36,607,511.32,461.43,516.52,481.4,554.38,438.21,348.66,298.5,244.24,205.78,175.31,238.83,267.21,532.03,142.02,120.87,77.14,
负债与所有者权益比率(%),11.31,11,9.61,8.48,8.27,10.04,12.11,12.53,11.36,23.3,15.87,15.98,25.78,60.59,48.72,47.63,46.64,185.29,158.27,202.4,
长期资产与长期资金比率(%),--,--,22.73,27.13,25.29,24.77,25.87,31.79,--,--,39.8,41.92,48.78,70.29,64.06,49.41,25.28,65.33,68,123.75,
资本化比率(%),--,--,0.12,0.15,0.18,0.23,0.57,0.37,--,--,3.65,4.15,1.96,11.21,9.95,13.67,15.23,20.21,25.44,11.44,
固定资产净值率(%),55.51,56.16,58.14,62.42,64.82,62.17,63.1,57.42,60.93,65.98,69.28,76.8,83.71,74.25,71.46,71.47,56.95,58.42,63.12,68.43,
资本固定化比率(%),22.81,20.45,22.76,27.17,25.33,24.82,26.02,31.91,34.63,31.77,41.3,43.74,49.76,79.16,71.14,57.23,29.82,81.88,91.19,139.73,
产权比率(%),10.6,10.17,8.74,8.48,8.27,10.04,12.11,12.53,11.36,21.74,15.87,15.4,25.78,60.59,48.72,47.63,46.2,188.05,161.91,201.4,
清算价值比率(%),--,--,1226.59,1243.38,1294.55,1084.64,913.33,883.2,--,--,716.04,752.95,487.6,262.57,301.62,309.35,317.44,151.71,159.52,150.15,
固定资产比重(%),11.7,12.39,15.03,18.03,20.02,17.59,18.53,16.03,20.49,23.26,28.91,35.3,38.63,35.52,28.15,25.35,12.82,24.68,32.03,42.87,
