报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,
基本每股收益(元),0.83,0.56,0.34,1.1,0.82,0.56,0.35,0.8,0.54,0.36,1.01,0.75,0.51,0.26,0.68,0.47,0.27,0.87,0.65,0.45,0.27,0.78,0.6,0.42,0.34,0.97,0.76,0.53,0.27,1.07,0.76,0.6,0.41,0.82,0.53,0.37,0.17,0.96,0.58,0.36,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.49,--,3.99,3.79,4.03,3.76,3.57,3.39,4.88,4.52,4.29,3.94,3.69,4.2,3.89,3.73,4.27,3.86,3.56,3.4,3.92,3.75,3.37,3.15,2.99,3.76,3.6,4.49,4.49,4.29,4.17,3.96,3.81,3.86,3.73,3.58,3.6,3.38,3.35,3.25,3.19,3.11,3.14,3.09,3.59,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.27,--,0.55,0.29,0.09,0.47,0.39,0.25,0.09,0.52,0.36,0.38,0.24,0.71,0.61,0.63,0.63,0.23,0.25,0.17,0.14,0.51,0.7,0.47,0.22,0.8,0,0,0,0.89,0,0,0,0.82,0,0,0,0.54,0,0,0,0.2,0,0.05,--,
主营业务收入(万元),372152,317523,316936,282965,298496,261051,266860,248462,218225,220395,196258,197923,178905,172140,156795,148740,148185,139547,142884,127076,134000,123118,115249,104752,111921,93008,94462,92693,94248,81749,78233,71758,71156,60526,58982,59899,59849,57254,48697,49824,40191,38303,36857,33737,33348,30217,29893,28771,29045,25336,37721,26947,24511,28947,26486,27325,22277,20911,18863,20998,14830,
主营业务利润(万元),315273,268263,269200,242289,254855,224490,224009,209813,182277,180329,158814,162266,142172,137381,125438,110157,121800,112348,118919,106483,109209,99550,93153,86167,90887,74744,77773,77180,78551,63503,64741,59368,58377,50120,49475,46319,49484,47014,39899,39457,33442,30087,29725,26755,26783,21703,24236,22492,24586,18130,24063,22081,19853,20089,18119,15995,14674,15244,11892,11284,8395,
营业利润(万元),92368,92225,94839,73927,74374,73222,80911,60460,62754,66437,40782,43917,45259,47287,34821,38600,40591,28395,30384,33915,37325,19421,25208,26377,32234,15246,22058,23054,24163,20909,12232,19384,24647,7563,11589,15620,10199,16858,15147,7807,10953,5837,7295,6286,7742,5004,6035,5233,6318,5521,4001,3560,4697,3955,3897,2525,3388,2129,2163,4533,1805,
投资收益(万元),3447,2572,495,1455,0,0,20,0,--,--,0,0,0,20,0,--,--,0,0,0,20,-318,294,10,131,0,0,77,20,-1273,124,-67,161,-98,274,474,1525,3112,0,753,20,1791,-1,0,25,0,0,0,0,79,970,-1011,0,244,0,4,0,284,4,0,140,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,-134,-55,-19,
利润总额(万元),92382,92184,95028,73639,73954,72918,80808,60245,62734,65810,43729,43570,45328,47338,34825,38543,40620,30186,31137,35863,37465,22058,25246,26931,32269,16497,22139,23162,24223,21728,12247,19395,24698,9043,12397,15348,10215,16991,15379,7820,10957,7620,7266,6275,7768,4621,5900,5237,6312,5477,4735,2447,4607,5351,3913,2427,3378,2304,2271,4550,1926,
净利润(万元),75433,76158,81185,66036,61427,62998,68434,51040,51387,54737,39872,35686,36964,39035,28364,30536,33665,27310,24707,25527,30194,20492,20407,21326,25436,16091,17212,18782,20332,19294,9961,16047,21271,14842,8271,11753,7429,16346,9570,8034,7342,5063,4850,5623,5128,3234,5353,3654,3981,3193,3928,2045,3095,3304,2598,1295,2256,1702,1487,2884,1822,
净利润(扣除非经常性损益后)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
