报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
总资产利润率(%),14.42,10.13,5.28,18.38,14.27,10.37,5.6,19.34,14.74,10.61,5.71,17.31,13.42,9.61,5.2,17.89,13.6,9.99,5.42,19.54,15.22,11.03,6,19.52,15.1,11.21,6.36,19.39,16.07,11.72,6.33,23.12,17.97,14.74,8.69,19.32,13.27,9.61,3.83,20.78,14.15,9.48,4.67,13.98,10.96,7.72,3.69,12.45,10.3,6.08,3.03,9.66,8,4.23,2.32,6.36,4.19,2.27,1.75,6.58,5.31,4.02,1.55,7.27,4.13,6.65,5.77,11.14,11.94,14.24,
主营业务利润率(%),84.71,84.71,84.94,85.24,85.11,84.96,83.94,83.61,83.31,82.67,81.82,80.6,80.48,79.63,79.81,79.62,78.77,78.12,82.19,82.24,82.83,82.62,81.5,81.26,81.41,81.72,81.21,82.33,82.98,83.31,83.35,81.21,82.52,82.39,82.04,81.67,81.28,80,82.68,81.55,81.32,80.99,83.21,78.97,79.44,78.97,79.36,78.88,81.31,81.43,84.65,73.46,74.01,81.49,81,65.58,64.12,61.83,65.87,61.92,57.73,54.93,56.61,58.5,55.52,52.2,50.72,46.75,42.62,39.82,
总资产净利润率(%),15.45,10.6,5.45,20.4,15.48,10.9,5.76,21.61,16.07,11.24,5.92,19.29,14.61,10.2,5.37,19.71,14.78,10.56,5.63,21.5,16.38,11.61,6.28,21.58,16.55,11.91,6.58,21.91,17.6,12.54,6.64,26.4,19.72,15.8,9.16,20.41,13.66,9.69,3.81,24.04,15.65,10.03,4.85,14.91,11.47,8,3.79,12.6,10.27,5.98,3.04,8.97,7.12,3.92,2.21,6.95,4.53,2.45,1.81,6.82,5.45,4.12,1.59,7.73,4.25,9.04,5.65,12.46,13.34,14.24,
成本费用利润率(%),38.19,41.63,42.83,37.25,38.07,41.21,43.59,37.97,37.98,41.65,42.92,31.72,33.02,35.82,37.93,31.13,33.57,36.43,37.88,32.21,34.01,38.87,39.04,30.36,34.18,37.49,40.45,29.9,33.13,34.34,34.99,33.33,33.02,41.56,48.84,26.85,28.99,29.86,24.53,32.58,32.21,26.05,37.52,24.85,25.94,26.09,29.83,22.88,24.6,24.57,27.11,17.78,15.26,16.26,23.26,16.44,14.58,13.2,17.85,16.95,18.9,21.7,14.77,17.77,26.07,19.76,20.06,17.82,16.53,16.37,
营业利润率(%),27.76,29.48,29.92,27.26,27.65,29.2,30.32,27.47,27.6,29.45,30.14,23.78,24.86,26.36,27.47,23.39,25.13,26.67,27.39,23.92,25.16,27.29,27.85,22.69,25.25,27.05,28.8,22.57,24.62,25.26,25.64,25.48,25.44,30.81,34.64,18.8,20.93,21.56,17.04,25.9,24.44,20.84,27.25,20.17,20.35,20.71,22.99,19.16,20.05,19.98,21.75,15.9,13.7,14.08,19.16,14.65,12.94,11.93,15.35,15.17,16.38,18.28,13.12,14.55,20.46,15.57,17.19,15.37,14.5,14.86,
主营业务成本率(%),13.45,13.42,13.2,12.93,13.15,13.35,14.35,14.72,14.99,15.64,16.42,17.62,17.72,18.56,18.33,18.67,19.48,20.11,15.98,16.01,15.39,15.64,16.74,17.23,17.04,16.69,17.31,16.17,15.51,15.17,15.07,17.29,15.95,16.02,16.33,16.76,17.13,18.42,15.67,16.86,17.08,17.4,15.14,19.46,18.98,19.48,19.06,19.5,17.02,16.9,13.65,25,24.48,16.9,17.45,33.15,34.61,37,33.01,36.85,41.01,43.85,42.17,40.27,43.31,46.77,48.31,52.24,56.52,59.42,
销售净利率(%),23.69,25.12,25.49,23.74,23.54,25.01,25.6,23.87,23.36,24.76,25.33,21.11,21.08,22.34,23.23,20.83,21.01,22.2,23.25,21.18,21.16,22.62,23.73,20.67,21.49,22.83,23.78,20.18,20.72,21.63,22.18,22.89,22.26,26.86,30.68,18.21,15.86,16.43,12.76,21.36,18.51,17.36,18.42,14.29,14.73,15.7,14.8,13.57,14.66,12.77,13.17,10.59,10.44,10.28,12.54,8.78,7.82,6.43,10.16,10.49,11.44,13.22,12.34,12.83,14.41,13.52,11.14,12.48,12,13.55,
净资产收益率(%),16.13,11.52,6.15,20.9,16.45,11.88,6.44,21.87,16.71,11.94,6.44,19.1,14.89,10.67,5.79,19.48,15.31,11.14,6.06,20.66,16.28,11.88,6.66,20.75,16.73,12.29,6.96,21.38,17.53,13.32,7.4,25.53,19.57,16.11,9.64,21.21,14.92,10.91,4.4,25.56,17.18,11.33,5.74,16.59,13.06,9.38,4.47,14.82,12.22,7.57,4.09,12.46,9.53,5.63,3.37,10.98,7.2,4.29,2.77,9.97,7.72,5.98,2.39,10.92,6.01,9.74,13.74,34.2,30.94,43.58,
股本报酬率(%),84.64,109.32,34.41,169.47,82.85,108.71,34.92,170.48,82.03,106.67,37.09,169.96,76.94,111.12,29.39,152.6,70.09,100.21,27.87,144.88,69.12,94.3,28.29,129.55,63.46,85.53,35.51,157.13,77.79,106.59,28.07,169.13,79.32,114.67,42.2,141.47,54.81,90.36,17.72,153.11,59.58,85.83,22.33,118.66,99.34,106.01,78.61,116.48,103.2,76.94,57.63,84.57,65.74,48.43,37.55,106.22,88.71,73.64,66.01,84.19,74.83,66.81,63.94,91.56,69.29,121.25,--,--,--,--,
净资产报酬率(%),15.91,21.72,5.9,30.9,15.97,22.2,6.18,32.2,16.35,22.48,6.29,30.84,14.76,22.33,5.67,31.19,15.09,22.63,5.95,32.92,16.62,23.91,6.76,33.26,17.22,24.53,7.09,33.89,17.72,26.41,7.43,39.39,19.97,30.21,9.73,36.15,15.19,26.26,4.47,40.41,17.45,26.99,5.74,31.05,27.3,23.34,17.31,26.81,24.45,19.2,14.92,21.61,17.29,13.31,10.28,29.99,25.99,22.28,20.2,26.51,23.01,20.96,17.42,25.68,20.58,23.95,60.58,81.88,79.17,102.86,
资产报酬率(%),14.42,19.57,5.28,27.76,14.27,20.04,5.6,29.01,14.74,20.39,5.71,28.13,13.42,20.36,5.2,28.75,13.6,20.66,5.42,30.4,15.22,21.77,6,30.23,15.1,21.79,6.36,30.23,16.07,23,6.33,35.01,17.97,27.32,8.69,32.46,13.27,22.84,3.83,32.78,14.15,22.45,4.67,26.79,23.38,19.61,14.79,23.12,21.08,16.16,11.66,17.18,14.41,9.88,7.23,18.68,15.92,13.38,13.03,17.83,16.21,14.46,11.53,17.39,14.09,16.33,25.58,28.7,30.65,34.01,
销售毛利率(%),86.55,86.58,86.8,87.07,86.85,86.65,85.65,85.28,85.01,84.36,83.58,82.38,82.28,81.44,81.67,81.33,80.52,79.89,84.02,83.99,84.61,84.36,83.26,82.77,82.96,83.31,82.69,83.83,84.49,84.83,84.93,82.71,84.05,83.98,83.67,83.25,82.87,81.58,84.33,83.28,82.92,82.6,84.86,81.28,81.7,81.38,81.91,80.5,82.98,83.1,86.35,75,75.52,73.11,71.31,66.85,65.39,63,66.99,63.15,58.99,56.15,57.83,59.73,56.69,53.23,51.69,47.76,43.48,40.58,
三项费用比重(%),57.45,55.59,54.94,58.16,57.48,55.62,53.41,56.03,55.65,53.03,51.39,56.72,55.63,53.33,52.3,56.19,53.61,51.31,54.56,59.15,58.86,54.88,53.12,58.36,55.85,54.6,52.49,59.16,57.56,57.11,56.79,58.53,59.67,56.63,53.11,54.84,54.55,51.48,52.26,61.65,57.77,61.06,55.87,59.99,57.75,58.28,56.45,60.68,62.18,62.74,64.81,58.26,60.63,65.79,61.82,52.85,51.75,50.51,50.8,48.15,42.36,38.22,44.57,45.15,37,37.71,34.15,31.76,29.32,29.41,
