报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
总资产利润率(%),18.38,19.34,17.31,17.89,19.54,19.52,19.39,23.12,19.32,20.78,13.98,12.45,9.66,6.36,6.58,7.27,6.65,11.14,11.94,14.24,
主营业务利润率(%),85.24,83.61,80.6,79.62,82.24,81.26,82.33,81.21,81.67,81.55,78.97,78.88,73.46,65.58,61.92,58.5,52.2,46.75,42.62,39.82,
总资产净利润率(%),20.4,21.61,19.29,19.71,21.5,21.58,21.91,26.4,20.41,24.04,14.91,12.6,8.97,6.95,6.82,7.73,9.04,12.46,13.34,14.24,
成本费用利润率(%),37.25,37.97,31.72,31.13,32.21,30.36,29.9,33.33,26.85,32.58,24.85,22.88,17.78,16.44,16.95,17.77,19.76,17.82,16.53,16.37,
营业利润率(%),27.26,27.47,23.78,23.39,23.92,22.69,22.57,25.48,18.8,25.9,20.17,19.16,15.9,14.65,15.17,14.55,15.57,15.37,14.5,14.86,
主营业务成本率(%),12.93,14.72,17.62,18.67,16.01,17.23,16.17,17.29,16.76,16.86,19.46,19.5,25,33.15,36.85,40.27,46.77,52.24,56.52,59.42,
销售净利率(%),23.74,23.87,21.11,20.83,21.18,20.67,20.18,22.89,18.21,21.36,14.29,13.57,10.59,8.78,10.49,12.83,13.52,12.48,12,13.55,
净资产收益率(%),20.9,21.87,19.1,19.48,20.66,20.75,21.38,25.53,21.21,25.56,16.59,14.82,12.46,10.98,9.97,10.92,9.74,34.2,30.94,43.58,
股本报酬率(%),169.47,170.48,169.96,152.6,144.88,129.55,157.13,169.13,141.47,153.11,118.66,116.48,84.57,106.22,84.19,91.56,121.25,--,--,--,
净资产报酬率(%),30.9,32.2,30.84,31.19,32.92,33.26,33.89,39.39,36.15,40.41,31.05,26.81,21.61,29.99,26.51,25.68,23.95,81.88,79.17,102.86,
资产报酬率(%),27.76,29.01,28.13,28.75,30.4,30.23,30.23,35.01,32.46,32.78,26.79,23.12,17.18,18.68,17.83,17.39,16.33,28.7,30.65,34.01,
销售毛利率(%),87.07,85.28,82.38,81.33,83.99,82.77,83.83,82.71,83.25,83.28,81.28,80.5,75,66.85,63.15,59.73,53.23,47.76,43.48,40.58,
三项费用比重(%),58.16,56.03,56.72,56.19,59.15,58.36,59.16,58.53,54.84,61.65,59.99,60.68,58.26,52.85,48.15,45.15,37.71,31.76,29.32,29.41,
非主营比重(%),0.12,0.02,1.52,1.87,3.45,3.18,1.86,-0.2,8.95,8.34,6.12,-2.36,-2.97,8.65,3.8,9.92,9.37,0.72,6.13,27.13,
主营利润比重(%),313.84,304.01,333.75,334.03,331.94,347.17,358.34,315.09,415.72,312.46,392.16,421.45,487.25,457.06,423.63,379.94,308.97,308.58,297.42,271.54,
