报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
应收账款周转率(次),3.84,2.43,1.34,5.02,3.56,2.44,1.27,4.79,3.38,2.36,1.17,4.44,3.35,2.18,1.07,4.13,2.99,2,1,4.03,2.97,1.99,0.96,3.77,2.69,1.84,0.95,3.71,2.88,1.97,1.04,4.13,3.31,2.27,1.12,4.6,3.58,2.49,1.28,6.89,7.01,5.15,2.63,9.7,7.18,4.52,2.12,7.56,5.21,3.51,1.72,5.98,4.67,2.66,1.26,4.76,3.41,2.2,1.01,3.57,2.57,1.71,0.69,3.54,1.8,3.43,1.69,3.52,4.7,5.68,
应收账款周转天数(天),70.33,74.13,67.21,71.67,75.79,73.88,70.96,75.12,79.78,76.28,76.9,81.05,80.49,82.39,84.29,87.15,90.42,90.07,89.74,89.23,90.91,90.37,93.52,95.46,100.25,97.68,94.3,96.97,93.8,91.44,86.14,87.18,81.67,79.16,80.26,78.22,75.34,72.17,70.13,52.22,38.52,34.93,34.28,37.13,37.61,39.85,42.54,47.59,51.84,51.26,52.23,60.19,57.86,67.61,71.56,75.57,79.16,81.67,88.7,100.82,105,105.14,130.61,101.59,99.88,105.06,106.72,102.16,76.57,63.42,
存货周转率(次),1.94,1.31,0.59,2.47,1.93,1.28,0.64,2.55,1.8,1.2,0.66,2.68,2.07,1.49,0.74,3.02,2.41,1.84,0.68,2.73,1.92,1.24,0.71,3.29,2.54,1.78,0.96,3.43,2.55,1.6,0.82,3.09,2.11,1.4,0.72,2.89,2.72,1.9,0.8,3.1,2.2,1.6,0.6,3.35,2.64,1.75,0.98,3.48,2.47,1.62,0.62,3.25,2.27,0.84,0.41,3.34,2.57,1.78,0.73,3.11,3.13,1.81,0.78,2.85,1.37,2.65,1.38,2.62,2.62,2.69,
固定资产周转率(次),--,3.77,--,7.16,--,3.53,--,6.68,--,3.19,--,5.59,--,2.73,--,5,--,2.41,--,5.36,--,3.01,--,5.8,--,2.97,--,6.23,--,3.91,--,6.43,--,3.11,--,5.14,--,2.62,--,4.39,--,2.18,--,3.27,2.36,1.52,0.75,2.51,1.86,1.21,0.6,2.29,2.32,1.28,0.61,2.46,1.8,1.15,0.66,2.43,1.93,1.21,0.53,3.09,2.37,4.02,2.06,3.58,3.02,1.05,
总资产周转率(次),0.65,0.42,0.21,0.86,0.66,0.44,0.23,0.91,0.69,0.45,0.23,0.91,0.69,0.46,0.23,0.95,0.7,0.48,0.24,1.01,0.77,0.51,0.26,1.04,0.77,0.52,0.28,1.09,0.85,0.58,0.3,1.15,0.89,0.59,0.3,1.12,0.86,0.59,0.3,1.13,0.85,0.58,0.26,1.04,0.78,0.51,0.26,0.93,0.7,0.47,0.23,0.85,0.68,0.38,0.18,0.79,0.58,0.38,0.18,0.65,0.48,0.31,0.13,0.6,0.29,0.67,0.51,1,1.11,1.05,
存货周转天数(天),138.92,136.97,152.85,145.49,139.59,141.03,140.25,140.92,150.19,149.59,137.3,134.44,130.71,120.81,121.33,119.33,111.95,98.02,132.2,131.91,140.48,145.21,126.12,109.31,106.11,100.99,93.38,105.03,106.04,112.35,109.48,116.63,127.68,128.84,125.35,124.58,99.39,94.69,112.49,116.25,122.98,112.71,149.55,107.54,102.21,102.87,91.93,103.32,109.47,111.05,144.42,110.69,118.75,213.24,218.61,107.86,104.9,101,123.07,115.6,86.27,99.28,115.22,126.4,131.8,136.06,130.85,137.36,137.28,133.62,
总资产周转天数(天),413.92,426.44,420.76,419.04,410.52,413.03,399.64,397.7,392.5,396.48,384.94,393.87,389.61,394.48,389.61,380.51,383.96,378.55,372.05,354.71,348.7,350.74,339.88,344.7,350.56,345.09,325.03,331.46,317.91,310.56,300.8,312.17,304.84,306.02,301.51,321.11,313.52,305.14,301.31,319.83,319.49,311.58,341.69,345.03,346.73,353.36,351.84,387.81,385.44,384.53,389.78,425.33,395.84,472.32,509.34,455.06,465.92,473.31,504.2,553.25,566.87,577.11,697.13,597.51,610.38,538.44,354.68,360.61,323.8,342.63,
流动资产周转率(次),0.82,0.53,0.27,1.07,0.81,0.54,0.28,1.12,0.85,0.57,0.29,1.18,0.9,0.6,0.31,1.25,0.93,0.62,0.32,1.32,0.99,0.66,0.34,1.35,0.99,0.67,0.36,1.46,1.14,0.81,0.41,1.64,1.22,0.81,0.43,1.57,1.2,0.8,0.4,1.61,1.24,0.87,0.4,1.65,1.21,0.79,0.41,1.51,1.15,0.78,0.38,1.53,1.25,0.69,0.32,1.54,1.13,0.72,0.34,1.15,0.83,0.54,0.21,0.86,0.38,0.87,0.72,1.46,1.86,195.32,
流动资产周转天数(天),329.91,339.3,336.07,337.02,332.51,335.07,326.56,320.31,316.38,318.42,308.01,304.62,300.27,301.15,294.5,288.02,291.64,289.67,284.54,273.06,271.93,272.36,265.02,265.92,272.75,267.78,252.81,247.1,237.66,222.99,218.71,219.98,220.55,222.41,211.37,229.33,225.68,226.39,223.21,224.1,217.44,207.04,226.76,218.7,223.4,226.61,221.08,238,235.36,231.51,235.91,234.89,215.59,262.16,282.13,233.75,239.57,249.17,266.35,312.74,325.18,332.78,426.14,417.44,479.11,414.56,249.83,246.59,193.89,1.84,
经营现金净流量对销售收入比率(%),0.22,0.21,0.19,0.23,0.23,0.24,0.21,0.24,0.23,0.24,0.18,0.21,0.2,0.23,0.17,0.22,0.21,0.2,0.22,0.18,0.17,0.14,0.08,0.12,0.13,0.13,0.06,0.1,0.1,0.15,0.19,0.15,0.17,0.27,0.46,0.05,0.07,0.07,0.1,0.11,0.22,0.23,0.24,0.19,0.2,0.15,0.13,0.19,0.2,0.24,0.08,0.18,0.14,0.19,0.15,0.13,0.09,0.03,0.01,0.07,0,0.04,--,0.02,0.03,0.04,0.04,0.08,--,--,
