报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
应收账款周转率(次),5.02,4.79,4.44,4.13,4.03,3.77,3.71,4.13,4.6,6.89,9.7,7.56,5.98,4.76,3.57,3.54,3.43,3.52,4.7,5.68,
应收账款周转天数(天),71.67,75.12,81.05,87.15,89.23,95.46,96.97,87.18,78.22,52.22,37.13,47.59,60.19,75.57,100.82,101.59,105.06,102.16,76.57,63.42,
存货周转率(次),2.47,2.55,2.68,3.02,2.73,3.29,3.43,3.09,2.89,3.1,3.35,3.48,3.25,3.34,3.11,2.85,2.65,2.62,2.62,2.69,
固定资产周转率(次),7.16,6.68,5.59,5,5.36,5.8,6.23,6.43,5.14,4.39,3.27,2.51,2.29,2.46,2.43,3.09,4.02,3.58,3.02,1.05,
总资产周转率(次),0.86,0.91,0.91,0.95,1.01,1.04,1.09,1.15,1.12,1.13,1.04,0.93,0.85,0.79,0.65,0.6,0.67,1,1.11,1.05,
存货周转天数(天),145.49,140.92,134.44,119.33,131.91,109.31,105.03,116.63,124.58,116.25,107.54,103.32,110.69,107.86,115.6,126.4,136.06,137.36,137.28,133.62,
总资产周转天数(天),419.04,397.7,393.87,380.51,354.71,344.7,331.46,312.17,321.11,319.83,345.03,387.81,425.33,455.06,553.25,597.51,538.44,360.61,323.8,342.63,
流动资产周转率(次),1.07,1.12,1.18,1.25,1.32,1.35,1.46,1.64,1.57,1.61,1.65,1.51,1.53,1.54,1.15,0.86,0.87,1.46,1.86,195.32,
流动资产周转天数(天),337.02,320.31,304.62,288.02,273.06,265.92,247.1,219.98,229.33,224.1,218.7,238,234.89,233.75,312.74,417.44,414.56,246.59,193.89,1.84,
经营现金净流量对销售收入比率(%),0.23,0.24,0.21,0.22,0.18,0.12,0.1,0.15,0.05,0.11,0.19,0.19,0.18,0.13,0.07,0.02,0.04,0.08,--,--,
资产的经营现金流量回报率(%),0.18,0.2,0.17,0.19,0.16,0.11,0.1,0.15,0.05,0.11,0.18,0.18,0.17,0.09,0.04,0.01,0.02,0.07,--,--,
经营现金净流量与净利润的比率(%),0.98,1.02,1,1.06,0.83,0.56,0.51,0.63,0.27,0.52,1.3,1.42,1.73,1.48,0.63,0.14,0.3,0.66,--,--,
经营现金净流量对负债比率(%),1.78,2,1.98,2.42,2.13,1.2,0.92,1.32,0.51,0.58,1.32,1.29,0.81,0.25,0.13,0.03,0.06,0.11,--,--,
现金流量比率(%),189.95,216.23,220.33,246.21,217.81,122.79,96.29,135.59,51.09,61.65,173.89,185.73,88.24,31.57,16.33,4.77,10.32,12.81,--,--,</tr>
