报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2002-12-31,2001-12-31,2000-12-31,
流动比率(%),1.51,1.49,1.46,1.4,1.42,1.48,1.44,1.35,1.38,1.3,1.29,1.27,1.3,1.26,1.27,1.27,1.33,1.29,1.3,1.31,1.31,1.26,1.24,1.25,1.33,1.33,1.65,1.7,1.73,1.81,2.2,2.53,1.67,1.6,1.48,1.43,1.37,1.38,1.47,1.46,1.66,1.84,2.27,2.7,2.37,2.32,2.93,3.11,3.91,3.6,4.21,4.18,3.94,3.67,4.44,5.47,1.97,--,1.78,1.35,1.13,
速动比率(%),0.53,0.57,0.53,0.48,0.55,0.55,0.57,0.47,0.5,0.45,0.42,0.35,0.4,0.38,0.3,0.28,0.35,0.31,0.35,0.3,0.29,0.23,0.26,0.28,0.38,0.96,1.05,1.18,1.04,1.19,1.5,2.02,1.1,1,0.94,0.9,0.71,0.82,0.83,0.91,1.11,1.28,1.55,2.05,1.81,1.87,2.52,2.76,3.56,3.27,3.79,3.78,3.5,3.32,4.08,5.02,1.52,--,1.29,0.92,0.63,
现金比率(%),26.57,32.98,28.98,30.37,28.81,31.34,33.33,32.94,31.26,26.03,22.87,20.17,21.5,23.9,18.72,18.27,22.23,20.34,18.58,17.39,13.83,10.99,14.68,16.77,18.86,48.53,54.38,66.3,51.64,70.93,95.37,123.86,53.27,33.28,43.52,36,27.75,30.78,24.21,34.93,32.01,40.88,38.25,81.42,84.15,85.51,146.73,159.3,217.6,204.09,250.63,237.64,198.57,222.06,313.11,385.93,34.61,--,11.63,12.99,4.39,
利息支付倍数(%),1536.98,2201.34,1856.09,1694.18,1692.33,2822.77,3100.48,532276.88,-8395.26,-62792.11,12511.55,18123.46,19194.96,8622.08,25607.21,3220.73,7324.02,9799.15,3809.78,-13750.8,-10198.6,-7778.54,-38.87,-99838.53,76030.51,-243.37,1313.72,609.27,620.01,335.27,-2171.68,402.15,-751.95,-1231.79,-1004.86,-765.52,-485.94,-524.62,-334.67,-819.67,-378.04,-420.04,-1531.4,528.66,107.39,-108.96,-515.26,-1053.82,-277.3,135.91,-1124.65,-4913.68,8209.2,-98839.59,750.77,933.87,915.09,--,872.93,902,663.56,
资产负债率(%),81.64,82.86,83.95,84.78,84.99,84.6,83.14,84.8,86.82,86.59,84.74,84.74,83.76,86.92,86.76,86.56,89.62,89.55,90.07,88.52,87.53,86.48,87.49,85.46,84.24,29.64,24.1,24.46,26.59,26.29,19.7,19.9,22.18,21.65,26.09,29.54,37.08,36.92,33.41,34.34,35.28,33.2,26.38,22.6,24.88,26.14,21.81,23.5,19.59,21.23,18.6,18.77,18.56,21.87,22.41,19.76,43.57,--,47.86,49.99,55.58,
长期债务与营运资金比率(%),0.36,0.36,0.35,0.32,0.29,0.31,0.33,0.52,0.63,0.63,0.46,0.41,0.47,0.5,0.49,0.49,0.55,0.48,0.59,0.52,0.4,0.24,0.25,0.17,0.24,--,--,--,--,0,0,0,--,0,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0.06,0.06,0.28,--,0.34,0,0,
股东权益比率(%),18.36,17.14,16.05,15.22,15.01,15.4,16.86,15.2,13.18,13.41,15.26,15.26,16.24,13.08,13.24,13.44,10.38,10.45,9.93,11.48,12.47,13.52,12.51,14.54,15.76,70.36,75.9,75.54,73.41,73.71,80.3,80.1,77.82,78.35,73.91,70.46,62.92,63.08,66.59,65.66,64.72,66.8,73.62,77.4,75.12,73.86,78.19,76.5,80.41,78.77,81.4,81.23,81.44,78.13,77.59,80.24,56.43,--,52.14,50.01,44.42,
长期负债比率(%),11.26,10.85,9.92,8.12,7.63,9.22,9.29,12.21,16.05,13.69,9.84,8.33,10.15,9.78,9.9,9.86,13.14,10.31,13.31,12.1,9.3,4.88,4.68,3.37,5.89,--,--,--,--,0,0,0,--,0,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,3.86,4.02,9.4,--,10.09,0,0,
股东权益与固定资产比率(%),--,2016.88,--,1424.34,--,1444.94,--,1077.33,--,963.48,--,1057.04,--,942.7,--,1310.53,--,2813.92,--,2425.55,--,2131.31,--,1871.32,--,175.88,--,175.06,--,205.36,--,197.06,--,150.82,--,152.45,--,161.99,--,164.26,--,590.56,--,566.24,412.27,410.12,437.89,431.14,452.24,447.16,457.85,452.19,627.55,620.5,617.75,610.91,184.01,--,176.93,179.61,135.86,
负债与所有者权益比率(%),444.55,483.54,523.16,557.09,566.22,549.37,493.05,557.91,658.77,645.65,555.5,555.11,515.9,664.69,655.55,644.27,863.68,856.61,907.46,771.08,702,639.45,699.18,587.98,534.49,42.13,31.74,32.38,36.22,35.67,24.53,24.84,28.5,27.63,35.3,41.93,58.94,58.54,50.17,52.3,54.52,49.71,35.83,29.19,33.12,35.38,27.89,30.71,24.36,26.96,22.85,23.11,22.78,27.99,28.88,24.63,77.22,--,91.79,99.94,125.14,
