报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
流动比率(%),1.4,1.35,1.27,1.27,1.31,1.25,1.7,2.53,1.43,1.46,2.7,3.11,4.18,5.47,1.78,1.35,1.13,
速动比率(%),0.48,0.47,0.35,0.28,0.3,0.28,1.18,2.02,0.9,0.91,2.05,2.76,3.78,5.02,1.29,0.92,0.63,
现金比率(%),30.37,32.94,20.17,18.27,17.39,16.77,66.3,123.86,36,34.93,81.42,159.3,237.64,385.93,11.63,12.99,4.39,
利息支付倍数(%),1694.18,532276.88,18123.46,3220.73,-13750.8,-99838.53,609.27,402.15,-765.52,-819.67,528.66,-1053.82,-4913.68,933.87,872.93,902,663.56,
资产负债率(%),84.78,84.8,84.74,86.56,88.52,85.46,24.46,19.9,29.54,34.34,22.6,23.5,18.77,19.76,47.86,49.99,55.58,
长期债务与营运资金比率(%),0.32,0.52,0.41,0.49,0.52,0.17,--,0,--,--,--,0,0,0.06,0.34,0,0,
股东权益比率(%),15.22,15.2,15.26,13.44,11.48,14.54,75.54,80.1,70.46,65.66,77.4,76.5,81.23,80.24,52.14,50.01,44.42,
长期负债比率(%),8.12,12.21,8.33,9.86,12.1,3.37,--,0,--,--,--,0,0,4.02,10.09,0,0,
股东权益与固定资产比率(%),1424.34,1077.33,1057.04,1310.53,2425.55,1871.32,175.06,197.06,152.45,164.26,566.24,431.14,452.19,610.91,176.93,179.61,135.86,
负债与所有者权益比率(%),557.09,557.91,555.11,644.27,771.08,587.98,32.38,24.84,41.93,52.3,29.19,30.71,23.11,24.63,91.79,99.94,125.14,
长期资产与长期资金比率(%),45.17,32.14,23.4,27.5,12.46,17.58,--,62.03,--,--,--,35.25,26.43,16.6,52.55,65.45,83.75,
资本化比率(%),34.79,44.55,35.29,42.32,51.32,18.82,--,0,--,--,--,0,0,4.78,16.22,0,0,
固定资产净值率(%),80.62,86.49,88.34,86,69.28,77.14,70.58,72.29,76.31,81.39,61.31,67.24,71.44,69.09,72.15,72.61,76.97,
资本固定化比率(%),69.26,57.97,36.17,47.67,25.61,21.66,77.26,62.03,81.79,75.89,50.45,35.25,26.43,17.43,62.72,65.45,83.75,
产权比率(%),473.26,524.52,541.91,619.96,749.74,554.75,32.38,24.84,41.93,52.3,29.19,30.71,23.11,24.63,91.79,99.94,125.14,
清算价值比率(%),135.43,122.08,120.41,119.49,115.96,123.83,--,453.58,--,--,--,422.46,528.86,502.28,204.94,195.27,174.59,
固定资产比重(%),1.07,1.41,1.44,1.03,0.47,0.78,43.15,40.65,46.22,39.98,13.67,17.74,17.96,13.13,29.47,27.85,32.69,
