报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,
基本每股收益(元),2.02,1.82,0.59,2.22,1.58,1.36,0.44,1.81,1.42,1.15,0.53,2.67,2.13,1.74,0.47,1.68,2.01,0.53,2.02,1.69,1.43,0.03,2.31,1.97,-0,-0.01,0.02,0.02,0.01,-0.04,0.05,-0.08,-0.1,0,-0.27,-0.14,-0.09,-0.03,-0.22,-0.06,-0.03,-0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.45,--,4.57,4.31,4.52,4.74,4.49,1.18,1.88,1.89,1.89,1.88,1.84,1.88,1.74,1.72,1.77,1.82,1.95,2,2.06,2.09,2.27,2.29,2.31,2.31,2.27,3.44,3.46,3.5,3.69,3.73,3.88,3.93,3.89,3.85,4,3.99,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.46,--,0.03,0.13,0.17,0.41,0.59,0.08,-0.02,0.33,0.19,0.08,-0.04,0.16,0.15,0.03,0.03,0.13,0.04,0.03,-0.09,0.03,-0.1,-0.03,-0.13,0.23,0,0,0,-0,0,0,0,-0.2,0,0,0,0.35,
主营业务收入(万元),863097,1445124,780766,2833506,788070,1265421,495062,1330421,815824,1357521,329703,895328,654978,822076,316173,497799,756502,121935,517445,247649,364790,77810,249243,512749,11580,5428,10097,7839,5192,2133,5228,5759,4880,2472,8435,7777,8074,5921,8248,8356,9282,4750,7556,6437,5638,2695,5168,3682,4677,2558,4668,5254,5031,3001,4513,
主营业务利润(万元),394587,724565,469895,426031,240972,494542,302521,290068,212280,392638,157244,177818,137175,320514,139459,111607,203517,91451,117758,60125,200169,22391,72376,204702,2440,1229,2514,1615,1232,275,1488,1020,734,32,992,1906,908,959,830,1726,2158,1056,1736,1677,1450,575,776,829,1343,525,1299,1721,1361,982,1603,
营业利润(万元),143403,526321,277080,247010,75313,368417,191088,130954,131956,326299,101096,68149,73473,261053,103698,65371,168134,65365,53304,31699,165768,711,28831,146003,178,-84,58,138,307,-518,769,278,-509,-823,-1826,-545,-882,-491,-2008,-343,132,-598,-209,266,71,-341,-1773,-163,442,-409,61,447,453,156,572,
投资收益(万元),19432,24549,17382,15520,10247,7715,8015,4067,4925,19867,1520,3439,2065,702,2810,-27,-11,-41,-2,-37,--,--,-36,837,-163,-78,--,--,--,0,39,0,0,-26,-155,-1,33,-7,18,-143,-34,-103,-4,-23,102,-55,-104,-229,0,-35,-21,0,0,0,0,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,
利润总额(万元),139709,520571,274991,257008,74296,374421,191826,131627,132128,325975,105126,67595,73534,261099,103736,65090,168247,65369,53460,31849,165869,787,28066,146120,141,-90,-3,125,637,-537,1957,278,-667,-822,-1805,-572,-944,-503,-2061,-352,139,-597,943,264,156,-408,-1939,-389,462,-456,125,503,622,146,568,
净利润(万元),86127,361248,175470,188822,64680,265736,129920,103741,73256,233321,69759,71637,52013,167999,62105,44844,129856,47067,29191,23134,124517,1521,20173,115673,41,-90,-3,125,637,-537,1957,278,-667,-822,-1877,-640,-881,-483,-2404,-372,148,-591,702,226,155,-366,-1861,-394,461,-432,192,396,430,108,473,
