报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),2.22,1.81,2.67,2.05,2.02,2.31,0.02,0.05,-0.27,-0.22,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,4.74,1.89,1.88,1.82,2.09,2.31,3.5,3.93,3.99,1.72,1.36,1.73,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.41,0.33,0.16,0.13,0.03,0.23,-0,-0.2,0.35,0.24,0.14,0.16,
主营业务收入(万元),5382059,3833469,2688555,2105975,1207694,779001,25261,18338,30208,30636,22326,16085,17952,17484,16246,13181,9987,
主营业务利润(万元),1464066,1052230,774967,570745,400443,280747,5636,3274,4765,5770,5438,3474,5362,5878,6160,5437,4070,
营业利润(万元),881827,690304,506373,358054,251481,174928,-15,-285,-3743,-2818,-212,-1903,1117,2508,2591,2554,1531,
投资收益(万元),41497,30379,9016,2483,-111,560,-29,13,-129,-262,19,-368,-21,0,0,0,0,
营业外收支净额(万元),15724,4552,-409,546,484,-691,237,1032,-81,-52,1149,-50,301,-18,0,0,0,
利润总额(万元),897552,694856,505964,358599,251966,174237,221,747,-3824,-2870,956,-2321,1397,2490,2586,2511,1442,
净利润(万元),649158,480077,353754,271489,178362,135797,221,747,-3882,-3218,717,-2226,1125,2162,2191,2158,1442,
净利润(扣除非经常性损益后)(万元),599917,454010,347855,269190,178050,135880,-14,-304,-3715,-2846,-482,-2294,837,2162,0,0,0,
经营活动产生的现金流量净额(万元),776306,744972,-495401,-347442,21753,24094,4737,2330,1875,408,3371,-49,-1967,3453,1417,856,0,
现金及现金等价物净增加额(万元),812867,2095608,437428,455428,173835,82077,-2448,4168,-1100,-2314,-9569,-4509,-8568,29147,-187,729,0,
总资产(万元),24990333,16862335,11396419,7409381,4319345,2757984,36366,34017,37720,46808,43811,46454,48944,49776,19848,16310,13509,
流动资产(万元),22356117,15376512,10767229,6934838,4192376,2671151,15144,17114,15982,23485,25755,33927,38435,42813,13358,10971,8483,
总负债(万元),21187162,14299335,9656791,6413857,3823485,2357101,8896,6768,11144,16073,9938,10915,9188,9836,9500,8153,7509,
流动负债(万元),15969925,11383940,8478350,5441509,3194814,2131000,8896,6768,11144,16073,9938,10915,9188,7833,7496,8153,7509,
股东权益不含少数股东权益(万元),2536091,1352679,979357,665042,431644,278639,27470,27249,26502,30384,33623,35029,39256,39940,10349,8158,6000,
净资产收益率加权(%),29.54,42.07,42.83,44.3,51.42,66.49,0.81,2.78,-13.65,-10,2.1,-5.99,2.86,17.74,23.68,30.48,26.16,
