报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2002-12-31,2001-12-31,2000-12-31,
总资产利润率(%),1.85,1.67,0.63,2.47,1.89,1.78,0.66,2.96,2.77,2.29,0.63,3.34,3.05,2.73,0.94,3.63,3.55,3.05,0.95,4.32,4.03,3.85,0.01,4.64,4.28,-0.12,-0.25,0.61,0.6,0.27,-1.62,2.19,-3.72,-4.66,-2.37,-10.22,-4.52,-3.05,-1.11,-6.66,-1.59,-0.92,-1.32,1.7,0.01,-0.59,-0.9,-4.99,-0.8,0.06,-0.89,2.3,1.94,1.08,0.21,4.34,7.92,--,11.04,13.23,10.67,
主营业务利润率(%),51.44,53.66,60.18,27.2,40.73,45.28,61.11,27.45,30.45,32.59,47.69,28.82,33.3,40.41,44.11,27.1,29.54,33.58,75,33.16,40.95,50.28,28.78,36.04,39.33,21.57,22.65,22.31,20.58,20.57,12.89,17.85,13.63,10.42,1.3,15.77,17.33,13.34,16.2,18.83,22.06,22.91,22.23,24.69,25.57,25.24,24.29,21.6,24.71,25.82,20.54,29.87,30.59,29.16,32.71,33.62,32.96,--,37.92,41.25,40.76,
总资产净利润率(%),2.12,1.88,0.66,2.95,2.2,2,0.69,3.53,3.13,2.51,0.66,4.04,3.57,3.12,0.98,4.58,4.2,3.49,1.02,5.28,4.6,4.13,0.01,9.16,8.44,-0.13,-0.25,0.63,0.63,0.28,-1.6,2.08,-3.45,-4.27,-2.27,-9.12,-4.46,-3.04,-1.09,-6.87,-1.71,-0.98,-1.34,1.66,0.01,-0.57,-0.89,-4.86,-0.78,0.06,-0.89,2.28,1.91,1.08,0.21,6.21,8.2,--,12.12,14.47,10.67,
成本费用利润率(%),43.25,55.47,55.66,19.84,33.35,46.73,63.45,21.99,28.67,33.75,46.16,23.13,32.24,46.98,48.29,20.5,27.75,36.28,115.5,26.38,40.36,60.39,1.02,28.85,37.8,0.32,-1.66,0.89,1.49,1.33,-20.42,4.08,-8.71,-17.44,-25.59,-11.61,-8.43,-9.05,-7.86,-8.87,-3.58,-3.24,-11.38,4.07,0.08,-2.77,-13,-12.66,-3.41,0.08,-15.22,8.14,10.23,10.2,5.09,16.5,17.31,--,18.48,23.26,16.8,
营业利润率(%),30.65,36.09,35.49,16.38,24.91,31.78,38.6,18.01,22.35,25.33,30.66,18.83,24.44,32.04,32.8,17,21.72,26.58,53.61,20.82,28.71,37.61,0.91,22.46,27.58,0.55,-1.54,-0.06,-0.48,-2.88,-24.29,-1.56,-8.05,-18.12,-33.3,-12.39,-8.8,-9.81,-8.29,-9.2,-3.62,-3.32,-12.59,-0.83,0.13,-2.54,-14.14,-14.12,-3.61,-0.02,-17.34,6.1,7.95,7.58,5.19,14.34,14.92,--,16.02,19.38,15.33,
主营业务成本率(%),43.57,42.48,37.61,66.97,54.18,49.68,33.82,65.48,63.23,62.03,48.44,64.23,60.75,54.21,51.03,66.19,63.97,59.8,19.6,60.35,52.81,43.39,69.31,58.07,55.34,78,77,77.42,79.34,79.35,87.04,81.89,86.25,89.39,98.69,83.85,82.38,86.41,83.64,81.01,77.89,77.04,77.75,75.19,74.35,74.73,75.69,78.19,74.99,73.83,79.24,69.74,69.11,70.62,67.11,66.16,66.82,--,61.85,58.51,59.13,
销售净利率(%),20.15,24.3,22.49,11.46,17.43,21.9,24.64,13.01,16.36,18.76,23.6,14.14,17.77,23.71,24,12.76,16.11,20.02,38.71,15.46,21.4,27.78,0.51,16.42,20.41,-0.29,-1.66,0.88,1.48,1.36,-25.19,4.07,-9.23,-20.25,-33.24,-12.76,-9.45,-10.12,-8.5,-10.18,-3.64,-3.29,-12.61,3.23,0.02,-2.99,-14.64,-14.42,-3.41,0.4,-16.88,6.27,7.03,6.69,3.59,12.37,13.02,--,13.49,16.37,14.44,
净资产收益率(%),16.63,14.49,5.65,25.6,19.97,17.56,5.98,35.49,30.6,26.14,6.65,36.12,30.67,26.59,8.54,40.82,35.97,29.97,9.79,41.32,36.99,33.15,0.57,48.74,43.82,-0.18,-0.33,0.81,0.82,0.37,-2.01,2.74,-4.78,-5.95,-3.2,-14.65,-7.07,-4.7,-1.62,-10.59,-2.47,-1.33,-1.79,2.13,0.04,-0.6,-1.06,-6.35,-0.99,0.08,-1.13,2.87,2.4,1.4,0.27,5.41,14.03,--,21.17,26.45,24.03,
股本报酬率(%),210.64,209.02,59.42,230.47,150.34,146.25,41.28,202.53,154.79,130.6,58.83,303.77,240.86,215.52,57.37,212.42,251.46,211.6,53.52,221.95,167.51,148.18,0.67,228.4,183.92,30.64,-0.62,46.54,1.55,41.49,-3.7,41.61,-8.33,27.49,-5.65,10.73,-14.16,15.59,-3.46,7.98,-5.61,23.89,-4.12,31.26,31.83,43.78,38.15,16.97,36.03,37.83,32.9,46.41,42.7,36.92,31.86,50.87,--,--,--,--,--,
净资产报酬率(%),10.07,11.11,3.9,17.91,12.56,12.93,3.89,20.91,21.04,18.62,4.14,23.1,18.77,22.02,7.08,28.23,34.19,30.97,9.55,39.47,32.33,30.24,0.11,33.5,27.16,25.98,-0.33,24.62,0.82,22.05,-2.01,22.19,-4.78,15.97,-3.2,5.87,-7.18,7.73,-1.66,3.77,-2.45,10.34,-1.79,13.35,13.97,12.59,10.69,4.78,9.61,10,8.37,11.67,10.9,9.52,7.92,12.74,36.84,--,42.99,47.45,46.06,
资产报酬率(%),1.85,1.9,0.63,2.73,1.89,1.99,0.66,3.18,2.77,2.5,0.63,3.53,3.05,2.88,0.94,3.79,3.55,3.24,0.95,4.53,4.03,4.09,0.01,4.87,4.28,18.28,-0.25,18.6,0.6,16.25,-1.62,17.78,-3.72,12.52,-2.37,4.13,-4.52,4.87,-1.11,2.48,-1.59,6.91,-1.32,10.33,10.49,9.3,8.36,3.65,7.73,7.88,6.81,9.48,8.88,7.44,6.14,10.22,20.79,--,22.41,23.73,20.46,
销售毛利率(%),56.43,57.52,62.39,33.03,45.82,50.32,66.18,34.52,36.77,37.97,51.56,35.77,39.25,45.79,48.97,33.81,36.03,40.2,80.4,39.65,47.19,56.61,30.69,41.93,44.66,22,23,22.58,20.66,20.65,12.96,18.11,13.75,10.61,1.31,16.15,17.62,13.59,16.36,18.99,22.11,22.96,22.25,24.48,25.15,24.33,21.35,21.81,25.01,26.17,20.76,30.26,30.89,29.38,32.89,33.84,33.18,--,38.15,41.49,40.87,
三项费用比重(%),21.44,18.09,23.47,11.26,16.09,14.1,22.17,9.89,8.93,8.31,16.77,10.17,9.12,8.63,12.05,10.16,7.75,6.89,21.41,12.23,12.2,12.64,27.53,13.57,12.33,17.13,22.38,20.96,19.88,23.07,36.24,17.68,19.59,26.51,31.2,24.84,27.41,27.65,24.36,24.48,23.07,23.62,32.64,25.66,29.55,29.1,36.46,35.57,27.39,26.35,37.67,25.52,24.16,23.07,28.65,19.92,18.57,--,24.03,23.15,26.69,
非主营比重(%),5.33,4.29,5.56,6.38,4.95,3.97,4.56,5.03,5.36,5.82,5.28,1.7,1.31,0.99,2.75,0.84,-0.08,0.03,-0.06,0.15,0.11,0.06,9.75,-0.08,0.46,-554.22,93.45,93.52,132.36,311.41,3.57,139.98,14.95,12.21,2.93,5.51,3.83,3.39,3.89,10.95,34.58,27.95,17.13,122.22,125.67,58.8,16.54,18.01,66,-440.71,10.34,20.06,17.02,20.82,-6.24,-0.71,-0.68,--,-0.2,-1.71,-6.18,
主营利润比重(%),169.9,150.14,170.88,163.12,162.06,140.76,157.71,151.43,135.32,127.55,149.58,153.17,136.22,126.08,134.44,159.16,136.11,126.26,139.9,158.93,142.41,133.54,2843.49,161.13,142.55,7166.46,-1365.68,2544.45,1388.78,1508.46,-51.17,438.59,-147.64,-51.48,-3.91,-124.59,-186.8,-128.94,-190.57,-201.04,-610.41,-702.76,-176.91,600.31,32107.15,-878.31,-166.64,-149.63,-704.85,30489.73,-115.18,383.88,319.4,304.63,670.23,236.04,222.33,--,238.2,216.57,282.3,
