报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
总资产利润率(%),2.47,2.96,3.34,3.63,4.32,4.64,0.61,2.19,-10.22,-6.66,1.7,-4.99,2.3,4.34,11.04,13.23,10.67,
主营业务利润率(%),27.2,27.45,28.82,27.1,33.16,36.04,22.31,17.85,15.77,18.83,24.69,21.6,29.87,33.62,37.92,41.25,40.76,
总资产净利润率(%),2.95,3.53,4.04,4.58,5.28,9.16,0.63,2.08,-9.12,-6.87,1.66,-4.86,2.28,6.21,12.12,14.47,10.67,
成本费用利润率(%),19.84,21.99,23.13,20.5,26.38,28.85,0.89,4.08,-11.61,-8.87,4.07,-12.66,8.14,16.5,18.48,23.26,16.8,
营业利润率(%),16.38,18.01,18.83,17,20.82,22.46,-0.06,-1.56,-12.39,-9.2,-0.83,-14.12,6.1,14.34,16.02,19.38,15.33,
主营业务成本率(%),66.97,65.48,64.23,66.19,60.35,58.07,77.42,81.89,83.85,81.01,75.19,78.19,69.74,66.16,61.85,58.51,59.13,
销售净利率(%),11.46,13.01,14.14,12.76,15.46,16.42,0.88,4.07,-12.76,-10.18,3.23,-14.42,6.27,12.37,13.49,16.37,14.44,
净资产收益率(%),25.6,35.49,36.12,40.82,41.32,48.74,0.81,2.74,-14.65,-10.59,2.13,-6.35,2.87,5.41,21.17,26.45,24.03,
股本报酬率(%),230.47,202.53,303.77,212.42,221.95,228.4,46.54,41.61,10.73,7.98,31.26,16.97,46.41,50.87,--,--,--,
净资产报酬率(%),17.91,20.91,23.1,28.23,39.47,33.5,24.62,22.19,5.87,3.77,13.35,4.78,11.67,12.74,42.99,47.45,46.06,
资产报酬率(%),2.73,3.18,3.53,3.79,4.53,4.87,18.6,17.78,4.13,2.48,10.33,3.65,9.48,10.22,22.41,23.73,20.46,
销售毛利率(%),33.03,34.52,35.77,33.81,39.65,41.93,22.58,18.11,16.15,18.99,24.48,21.81,30.26,33.84,38.15,41.49,40.87,
三项费用比重(%),11.26,9.89,10.17,10.16,12.23,13.57,20.96,17.68,24.84,24.48,25.66,35.57,25.52,19.92,24.03,23.15,26.69,
非主营比重(%),6.38,5.03,1.7,0.84,0.15,-0.08,93.52,139.98,5.51,10.95,122.22,18.01,20.06,-0.71,-0.2,-1.71,-6.18,
主营利润比重(%),163.12,151.43,153.17,159.16,158.93,161.13,2544.45,438.59,-124.59,-201.04,600.31,-149.63,383.88,236.04,238.2,216.57,282.3,
