报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2002-12-31,2001-12-31,2000-12-31,
应收账款周转率(次),2.32,1.63,0.69,6.45,2.59,1.75,0.57,6.23,3.87,2.44,0.56,7.81,5.46,4.19,1.66,13.35,9,5.22,0.76,14.07,9.18,6.41,1.4,46.7,12.87,5.34,1.96,10.75,6.81,3.65,1.28,6.35,4.1,2.06,0.75,7.06,5.32,2.96,1.36,5.47,3.42,2.06,0.78,2.78,1.81,0.98,0.31,1.68,1.2,0.8,0.3,2.14,1.6,1,0.42,2.3,1.75,--,2.59,3.31,3.51,
应收账款周转天数(天),116.25,110.29,131.1,55.78,104.06,102.74,159.12,57.82,69.86,73.71,160.69,46.07,49.45,42.93,54.32,26.97,29.99,34.5,118.09,25.58,29.42,28.09,64.08,7.71,20.98,33.71,46.01,33.48,39.64,49.25,70.42,56.69,65.86,87.25,119.3,50.97,50.75,60.78,66.23,65.79,79.06,87.48,114.97,129.45,149.39,182.91,289.39,213.99,225.39,226.24,303.13,167.89,168.26,179.25,216.03,156.6,154.24,--,138.85,108.88,102.63,
存货周转率(次),0.08,0.06,0.02,0.29,0.12,0.08,0.02,0.28,0.19,0.13,0.02,0.26,0.18,0.1,0.03,0.32,0.23,0.14,0.01,0.28,0.15,0.08,0.02,0.44,0.33,2.97,0.85,4.86,2.34,1.24,0.46,3.2,2.24,1.3,0.45,3.41,1.8,1.31,0.53,3.25,2.14,1.38,0.49,3.43,2.31,1.43,0.54,3.37,2.36,1.5,0.55,3.51,2.49,1.57,0.59,3.24,2.51,--,2.82,2.15,1.58,
固定资产周转率(次),--,8.2,--,21.32,--,7.5,--,19.05,--,9.45,--,22.35,--,10.67,--,43.69,--,41.98,--,57.69,--,21.23,--,41.98,--,1.09,--,1.71,--,0.54,0.31,1.17,--,0.43,--,1.67,--,0.76,--,2.48,--,2.4,--,3.26,1.9,1.07,0.34,1.89,1.28,0.84,0.29,2.34,2.08,1.26,0.46,2.82,2.09,--,3.13,2.94,0.74,
总资产周转率(次),0.11,0.08,0.03,0.26,0.13,0.09,0.03,0.27,0.19,0.13,0.03,0.29,0.2,0.13,0.04,0.36,0.26,0.17,0.03,0.34,0.21,0.15,0.03,0.56,0.41,0.45,0.15,0.72,0.42,0.21,0.06,0.51,0.37,0.21,0.07,0.71,0.47,0.3,0.13,0.67,0.47,0.3,0.11,0.51,0.34,0.19,0.06,0.34,0.23,0.15,0.05,0.36,0.27,0.16,0.06,0.5,0.63,--,0.9,0.88,0.74,
存货周转天数(天),3492.88,3152.36,4736.84,1238.39,2261.31,2316.6,5454.55,1282.97,1414.35,1406.25,4411.76,1379.84,1502.5,1737.45,3135.89,1114.9,1172.89,1275.69,12676.06,1307.66,1803.61,2168.67,3614.46,824.18,812.27,60.62,105.5,74.01,115.55,145.67,194.89,112.64,120.59,138.57,201.39,105.49,150.21,137.5,168.89,110.77,126.25,130.32,182.63,104.9,116.73,125.69,166.88,106.77,114.4,119.66,164.47,102.61,108.28,115.02,153.04,111.06,107.69,--,127.52,167.59,227.75,
总资产周转天数(天),2561.67,2322.58,3061.22,1399.69,2141.16,1971.52,3225.81,1326.94,1411.4,1346.3,3237.41,1259.18,1344.62,1368.82,2205.88,1002.51,1036.87,1033.3,3435.11,1054.79,1256.4,1210.49,3284.67,645.62,652.96,398.67,600.4,501.53,636.04,873.79,1419.56,704.09,723.09,852.68,1319.65,503.71,572.64,600,700.93,533.41,574.71,604.43,847.46,700.53,790.4,937.5,1480.26,1067.62,1181.62,1206.43,1711.03,989.83,994.48,1113.86,1525.42,716.85,428.64,--,400.62,407.24,486.95,
流动资产周转率(次),0.12,0.09,0.03,0.29,0.14,0.1,0.03,0.29,0.2,0.14,0.03,0.3,0.21,0.14,0.04,0.38,0.27,0.18,0.03,0.35,0.22,0.15,0.03,0.58,0.43,1.11,0.37,1.57,0.88,0.42,0.14,1.11,0.94,0.54,0.17,1.53,0.94,0.59,0.26,1.22,0.79,0.49,0.18,0.77,0.52,0.29,0.09,0.44,0.29,0.19,0.07,0.44,0.34,0.19,0.07,0.62,0.94,--,1.34,1.36,117.72,
流动资产周转天数(天),2333.62,2110.2,2760.74,1261.83,1942.45,1796.41,2941.18,1227.41,1324.18,1271.19,3061.22,1184.99,1256.4,1286.63,2068.97,951.12,1000.37,996.13,3333.33,1023.02,1228.95,1181.1,3191.49,620.69,628.35,161.57,244.37,229.86,305.33,426.95,665.68,324.85,288.37,331.37,535.71,235.17,288.65,303.49,348.16,295.47,343.08,368.7,511.65,470.4,523.26,628.27,1014.66,809.72,917.12,935.06,1341.28,814.66,792.49,926.4,1282.05,578.31,288.43,--,269.56,265.68,3.06,
经营现金净流量对销售收入比率(%),-0.73,-0.19,-0.31,0.14,-0.01,-0.27,-0.76,0.19,0.1,-0.1,-0.48,-0.18,-0.21,-0.14,-0.6,-0.17,-0.03,-0.02,-0.33,0.02,0,0.03,0.13,0.03,0.07,0.1,-0.04,0.19,0.18,0.16,-0.25,0.13,0.17,0.06,0.17,0.06,0.02,0.03,-0.23,0.01,-0.06,-0.03,-0.38,0.15,0.22,0.29,0.19,-0,-0.02,0.05,-0.08,-0.11,-0.19,-0.22,-0.41,0.2,0.27,--,0.09,0.06,0,
资产的经营现金流量回报率(%),-0.07,-0.01,-0.01,0.03,-0,-0.02,-0.02,0.04,0.02,-0.01,-0.01,-0.04,-0.04,-0.02,-0.02,-0.05,-0.01,-0,-0.01,0.01,0,0,0,0.01,0.01,0.04,-0.01,0.13,0.07,0.03,-0.02,0.07,0.07,0.01,0.01,0.05,0.01,0.01,-0.03,0.01,-0.03,-0.01,-0.04,0.08,0.08,0.06,0.01,-0,-0.01,0.01,-0,-0.04,-0.05,-0.04,-0.02,0.07,0.16,--,0.07,0.05,0,
经营现金净流量与净利润的比率(%),-3.6,-0.79,-1.38,1.26,-0.04,-1.24,-3.1,1.49,0.59,-0.52,-2.02,-1.3,-1.2,-0.58,-2.48,-1.29,-0.2,-0.12,-0.86,0.12,0.02,0.1,25.5,0.19,0.32,--,--,21.39,12.04,12.02,--,3.12,--,--,--,--,--,--,--,--,--,--,--,4.5,1016.9,--,--,--,--,13.65,--,-1.75,-2.68,-3.26,-11.28,1.6,2.06,--,0.65,0.4,0,
经营现金净流量对负债比率(%),-0.08,-0.02,-0.01,0.04,-0,-0.03,-0.02,0.05,0.02,-0.01,-0.02,-0.05,-0.04,-0.02,-0.03,-0.05,-0.01,-0,-0.01,0.01,0,0,0,0.01,0.02,0.15,-0.03,0.53,0.27,0.12,-0.08,0.34,0.31,0.06,0.05,0.17,0.03,0.03,-0.09,0.03,-0.08,-0.03,-0.15,0.34,0.31,0.22,0.05,-0,-0.03,0.04,-0.02,-0.21,-0.28,-0.16,-0.1,0.35,0.37,--,0.15,0.1,0,
现金流量比率(%),-10.94,-2.13,-1.38,4.86,-0.12,-3.57,-3.21,6.54,2.43,-1.65,-1.74,-5.84,-5.08,-2.13,-3.15,-6.39,-0.98,-0.5,-1.09,0.68,0.09,0.47,0.44,1.13,1.88,15.16,-2.59,53.25,27.19,12.31,-8.04,34.42,30.57,5.9,4.73,16.83,3.19,2.82,-8.9,2.54,-7.66,-2.93,-15.19,33.92,31.02,22.01,5.44,-0.45,-2.53,3.87,-2.41,-21.4,-28.08,-16.12,-12.63,44.08,47.6,--,18.9,10.49,0,</tr>
