报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,
流动比率(%),1.85,1.84,2.23,2.24,2.27,2.24,2.05,2.04,1.78,1.59,1.39,1.91,2.29,2.23,2.14,1.14,1.3,1.07,1.1,1.12,1.26,1.27,1.28,1.27,1.22,1.18,1.1,1.05,0.96,1,1.14,1.32,1.35,1.35,1.29,1.36,1.31,1.29,1.27,1.32,1.27,1.18,1.15,1.17,1.21,1.33,1.33,1.2,1.54,1.55,1.69,1.73,1.95,1.99,2.14,2.5,2.71,2.84,2.86,2.74,3.52,4.69,4.99,5.09,1.75,1.23,1.33,1.09,
速动比率(%),1.71,1.69,2.08,2.07,2.14,2.11,1.91,1.84,1.62,1.46,1.3,1.79,2.16,2.12,2.03,1.02,0.79,0.66,0.67,0.63,0.8,0.81,0.87,0.88,0.85,0.82,0.75,0.74,0.71,0.72,0.84,1.01,1.02,1.05,0.94,1.03,0.99,1.03,1.02,1.07,0.99,0.88,0.82,0.85,0.84,0.88,0.97,0.83,1.06,1.02,1.18,1.23,1.53,1.62,1.81,2.09,2.28,2.42,2.48,2.34,3.06,4.2,4.54,4.64,1.39,0.77,0.8,0.66,
现金比率(%),42.08,42.71,78,72.13,61.66,48.28,47.75,32.19,23.68,19.24,38.31,62.29,42.77,27.65,90.18,7.8,31.28,20.38,13.68,15.05,13.64,14.72,15.79,19.28,22.96,20.04,18.04,19.5,16.05,15.57,20.89,28.48,21.61,25.13,18.36,30.52,24.2,23.81,23.48,32.23,20.64,19.01,20.38,23.99,35.82,27.54,42.75,33.25,38.3,25.18,41.02,55.13,72.43,83.58,82.16,114.05,117.01,124.08,139.55,126.26,153.55,292.56,340.18,389.34,58.27,15.39,8.93,16.25,
利息支付倍数(%),-11252.3,-9938.93,-12985.41,-12166.9,-14139.7,-14565.69,-23913.91,-17413.28,-17120.61,-16146.38,-32269.16,-19370.17,-67260.24,44290.87,7538.76,3739.23,104.34,-138.57,107.06,-183.91,156.93,135.02,131.31,168.51,200.71,159.26,132.41,167,189.17,165.33,126.65,167.39,178.03,166.23,120.41,187.53,163.92,173.79,123.17,289.58,363.09,392.05,169.39,323.28,320.07,420.5,145.65,235.37,261.74,313.64,148.07,276.11,339.78,397.8,343.02,842.05,1563.08,2031.11,2333.62,-3602.58,-6590.77,-991.62,155867.13,38931,764.24,1469.55,1480.4,905.73,
资产负债率(%),29.86,30.78,26.9,26.07,25.18,25.29,25.79,24.34,28.26,31.79,39.36,31.68,26.04,26.83,28.79,42.79,49.23,53.32,51.05,50.57,47.77,47.06,46.14,45.23,44.19,43.13,40.53,39.72,41.76,40.04,40.91,38.67,39.39,39.55,37.97,38.99,38.59,38.85,38.7,37.83,38.62,39.2,39.04,38.08,37.17,33.48,37.35,34.41,32.66,31.4,33.12,32.09,33.18,32.69,32.37,28.28,27.54,26.71,26.26,24.44,22.49,22.72,23.08,22.84,48.67,37.32,36.21,41.77,
长期债务与营运资金比率(%),0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.04,3.63,2.88,2.43,1.18,1.18,1.21,1.06,1.39,1.15,0.63,--,--,0,0.66,0.32,0.51,0.5,0.65,0.51,0.61,0.64,0.7,0.61,0.69,1.05,1.27,1.21,1.02,0.84,0.7,0.51,0.63,0.66,0.48,0.48,0.39,0.39,0.35,0.35,0.32,0.32,0.31,0.39,0.33,0.22,0.2,0.21,1.02,0.43,0.61,2.3,
股东权益比率(%),70.14,69.22,73.1,73.93,74.82,74.71,74.21,75.66,71.74,68.21,60.64,68.32,73.96,73.17,71.21,57.21,50.77,46.68,48.95,49.43,52.23,52.94,53.86,54.77,55.81,56.87,59.47,60.28,58.24,59.96,59.09,61.33,60.61,60.45,62.03,61.01,61.41,61.15,61.3,62.17,61.38,60.8,60.96,61.92,62.83,66.52,62.65,65.59,67.34,68.6,66.88,67.91,66.82,67.31,67.63,71.72,72.47,73.29,73.74,75.56,77.51,77.28,76.92,77.16,51.33,62.68,63.79,58.23,
长期负债比率(%),0.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.37,10.86,10.97,11.08,10.84,11.04,11.23,9.88,10.06,7.08,2.28,--,--,0,3.45,3.59,5.93,5.94,6.12,6.03,6.1,6.08,6.14,6.23,6.19,6.15,6.23,6.33,6.47,7.36,6.98,3.22,8.23,8.42,8.26,8.4,8.96,9.08,9.2,9.78,9.81,9.98,9.57,9.9,10.21,10.29,10.32,10.47,20.74,3.34,5.77,6.93,
股东权益与固定资产比率(%),--,254.83,--,257.21,--,343.79,--,305.21,--,251.86,--,256.73,--,244.57,--,146.18,--,259.26,--,257.37,--,310.15,--,301.35,--,302.26,--,299.38,--,330.5,--,319.43,--,300.8,--,294.64,--,306.97,--,293.4,--,314.28,--,302.32,219.2,215.64,211.85,210.98,210.11,206.46,233.52,230.85,256.39,256.77,251.22,248.39,315.17,310.16,312.61,304.47,323.46,319.31,319.07,311.76,171.9,155.93,149.63,126.63,
负债与所有者权益比率(%),42.57,44.47,36.79,35.26,33.66,33.84,34.76,32.17,39.38,46.61,64.91,46.37,35.21,36.67,40.43,74.8,96.97,114.2,104.3,102.3,91.47,88.89,85.66,82.57,79.18,75.83,68.14,65.91,71.69,66.79,69.23,63.05,64.99,65.43,61.22,63.9,62.84,63.54,63.12,60.84,62.92,64.47,64.05,61.49,59.15,50.33,59.61,52.46,48.49,45.77,49.52,47.26,49.67,48.58,47.85,39.43,38,36.45,35.62,32.34,29.02,29.41,30.01,29.6,94.82,59.55,56.77,71.74,
