报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
流动比率(%),2.24,2.04,1.91,1.14,1.12,1.27,1.05,1.32,1.36,1.32,1.17,1.2,1.73,2.5,2.74,5.09,1.23,1.33,1.09,
速动比率(%),2.07,1.84,1.79,1.02,0.63,0.88,0.74,1.01,1.03,1.07,0.85,0.83,1.23,2.09,2.34,4.64,0.77,0.8,0.66,
现金比率(%),72.13,32.19,62.29,7.8,15.05,19.28,19.5,28.48,30.52,32.23,23.99,33.25,55.13,114.05,126.26,389.34,15.39,8.93,16.25,
利息支付倍数(%),-12166.9,-17413.28,-19370.17,3739.23,-183.91,168.51,167,167.39,187.53,289.58,323.28,235.37,276.11,842.05,-3602.58,38931,1469.55,1480.4,905.73,
资产负债率(%),26.07,24.34,31.68,42.79,50.57,45.23,39.72,38.67,38.99,37.83,38.08,34.41,32.09,28.28,24.44,22.84,37.32,36.21,41.77,
长期债务与营运资金比率(%),--,--,--,--,2.43,1.06,--,0.32,0.51,0.61,1.21,0.51,0.48,0.35,0.39,0.21,0.43,0.61,2.3,
股东权益比率(%),73.93,75.66,68.32,57.21,49.43,54.77,60.28,61.33,61.01,62.17,61.92,65.59,67.91,71.72,75.56,77.16,62.68,63.79,58.23,
长期负债比率(%),--,--,--,--,11.08,9.88,--,3.59,6.03,6.23,6.33,3.22,8.4,9.78,9.9,10.47,3.34,5.77,6.93,
股东权益与固定资产比率(%),257.21,305.21,256.73,146.18,257.37,301.35,299.38,319.43,294.64,293.4,302.32,210.98,230.85,248.39,304.47,311.76,155.93,149.63,126.63,
负债与所有者权益比率(%),35.26,32.17,46.37,74.8,102.3,82.57,65.91,63.05,63.9,60.84,61.49,52.46,47.26,39.43,32.34,29.6,59.55,56.77,71.74,
长期资产与长期资金比率(%),--,--,--,--,94.58,87.88,--,82.58,82.48,85.18,92.31,90.77,77.28,66.23,70.37,42.3,89.82,88.04,97.31,
资本化比率(%),--,--,--,--,18.31,15.28,--,5.53,8.99,9.11,9.28,4.68,11,12,11.58,11.95,5.06,8.3,10.63,
固定资产净值率(%),76.01,70.95,77.09,80.06,55.83,56.05,57.81,57.22,60.92,63.16,64.64,71.76,72.5,73.08,70.86,72.89,65.26,66.96,70.4,
资本固定化比率(%),60.38,68.85,60.14,92.54,115.78,103.73,99.71,87.41,90.62,93.72,101.75,95.23,86.83,75.26,79.59,48.05,94.61,96.01,108.88,
产权比率(%),33.47,30.97,45.14,72.33,99.72,79.93,63.21,63.05,63.9,60.84,61.49,52.46,47.26,39.34,32.34,29.6,57.98,54.91,69.58,
清算价值比率(%),--,--,--,--,197.73,222.25,--,250.07,248.05,255.12,253.06,263.92,280.71,316.48,360.96,414.94,238.5,241.35,205.63,
固定资产比重(%),28.74,24.79,26.61,39.13,19.21,18.18,20.13,19.2,20.71,21.19,20.48,31.09,29.42,28.87,24.82,24.75,40.2,42.63,45.98,
