报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,
基本每股收益(元),1.12,0.72,0.36,1.17,0.85,0.56,0.27,0.88,0.64,0.42,0.2,0.67,0.49,0.33,0.16,0,-0.13,0,-0.25,0.03,0.01,0.01,0.06,0.06,0.02,0.01,0.06,0.06,0.03,0.01,0.07,0.06,0.03,0,0.08,0.05,0.05,0,0.1,0.08,0.06,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.55,--,3.54,--,3.83,3.81,3.81,3.8,3.81,3.77,3.76,3.76,3.75,3.72,4.82,4.81,4.8,4.77,4.76,4.75,4.73,4.72,4.69,4.68,4.66,4.64,4.6,4.56,4.56,4.55,4.51,4.51,4.5,4.48,4.45,4.45,4.45,4.43,4.39,4.38,4.41,4.39,4.34,4.31,4.36,4.31,4.28,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.32,--,0.01,--,0.1,0.04,0.01,0,0.09,0.02,0.08,0.37,0.45,0.21,0.25,0.05,0.01,0.04,0,0.22,0.08,0.03,-0.02,0.35,0,0.03,0.01,0.04,0,--,0,0.6,0,0,0,-0.36,0,0,0,0.02,0,0,0,0.21,0,0.03,--,
主营业务收入(万元),140345,140536,140481,117142,115267,119719,115662,95138,94374,96825,90446,76867,75029,75449,71296,3652,3773,6619,-1998,5780,5713,6508,5044,6892,7117,4994,7407,5618,6365,4325,7318,5509,5417,3958,6669,5098,5701,3831,6974,5128,6122,3632,6595,4434,5365,3677,4764,3827,5520,3506,3814,3629,3990,3181,2626,3241,3136,2338,2335,3338,2666,2390,
主营业务利润(万元),115893,116812,117388,96864,96355,100028,96458,79088,77116,80038,75136,64088,62128,62099,58264,23,331,1946,-1023,1044,1536,1999,1205,2201,2190,1597,1691,1524,2002,1374,1686,1508,1837,1213,1659,1311,1570,1140,1759,1248,1725,853,1761,1201,1887,1280,1220,923,1665,1043,1151,883,1245,868,25,862,1055,749,334,1072,799,838,
营业利润(万元),34745,33795,30047,29975,26671,26606,22390,21430,18305,19814,16014,16247,13580,14201,12420,-1600,-1887,25,-3983,49,128,110,-492,574,300,97,5,283,380,70,-55,298,339,61,345,120,371,39,-131,258,843,78,211,204,845,104,148,143,741,96,17,263,635,118,-422,370,666,509,-27,731,503,611,
投资收益(万元),-2,335,178,185,335,--,--,192,202,480,353,357,468,200,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,147,3,72,13,7,5,0,0,1,0,0,0,6,2,-28,0,-67,1,0,0,53,0,41,0,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-3,-13,0,
利润总额(万元),38187,33925,33899,30004,27404,26925,24464,21641,19925,19913,18478,16365,14732,14745,14622,1828,-1806,23,-4061,320,120,110,-152,581,303,97,-18,441,380,70,86,295,341,58,417,120,318,51,514,251,840,77,242,210,848,96,145,140,748,96,26,262,605,134,-578,381,738,484,25,728,531,791,
净利润(万元),32551,29110,29071,25801,23574,23131,20912,18757,16780,17157,15963,14068,12359,12951,12561,1829,-1802,19,-3924,265,103,90,-31,486,257,80,93,372,323,58,185,249,290,47,260,90,450,38,284,168,585,51,121,141,568,64,65,214,505,59,-33,283,405,88,-330,252,494,324,16,488,355,530,
净利润(扣除非经常性损益后)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),99243,71103,33901,91310,66593,46283,28083,64548,54789,32900,17482,61611,47571,28295,22050,4464,225,169,2701,1424,618,188,41,1305,236,1071,5113,6175,2963,2675,492,74,432,39,2305,853,357,-224,3672,26,325,119,424,1768,1207,-48,6338,3123,1194,-1060,-3774,-4258,-3544,-3226,224,-1245,-2250,-1539,2200,0,357,--,
现金及现金等价物净增加额(万元),-21781,-22115,17752,60011,40667,22417,19954,-37377,-41634,-43943,-11931,57918,24779,13320,60264,5608,2420,-502,-887,-1329,-1210,-1105,-126,640,-85,-642,-1941,-2378,-2994,-1557,10,-2249,-1240,-3568,175,-1721,-1755,-1945,2154,-606,-908,-645,-1579,909,-2356,2370,-1524,-2455,-5090,-1898,-4559,-1254,113,-570,-1522,-1752,-1958,-591,-16921,0,-6465,--,
总资产(万元),559471,519901,533304,498761,458303,427390,393711,358542,350699,344274,359055,335772,291147,277400,266855,96762,101310,100306,99287,101484,99616,97981,96182,94454,91826,87615,86316,89166,85996,86890,83622,84307,84119,81682,82961,82000,82202,81432,80232,80808,81301,80304,78651,77324,72828,76756,73221,71217,69598,70951,69790,70980,70043,69102,65039,64830,63755,62697,60632,59777,59325,59137,
流动资产(万元),287115,279449,305040,276103,249352,229020,201571,171777,171831,169553,192392,197817,167275,159904,158454,46028,44845,42759,42463,45639,43831,41878,41536,37552,37221,35144,34439,35681,34441,37107,38794,38004,38181,33682,37089,34886,34801,33641,33483,33408,31654,30277,29216,28638,25383,31018,27488,26737,24844,29800,28638,33428,32796,34152,29935,31193,30297,29907,--,--,--,37649,
总负债(万元),167043,160023,143434,130010,115411,108070,101553,87259,99093,109447,141330,106372,75815,74428,76833,47637,54014,51207,50207,48480,46878,45208,43500,41741,39600,35508,34289,37233,34436,35547,32337,33209,33270,31016,32343,31645,31937,31511,30349,31209,31870,31354,30069,28738,24383,28667,25196,23257,21852,23499,22398,23554,22900,22365,18392,17851,17031,16467,14817,13447,13481,13649,
流动负债(万元),155113,152055,136878,123437,109822,102453,98419,84026,96527,106799,138601,103559,73154,71702,74044,35467,41812,38942,37942,36342,34487,32816,32608,30723,31582,31990,32889,37233,34436,32547,29337,28209,28270,26016,27343,26645,26937,26511,25349,26209,26870,26354,25069,23738,19023,23307,22836,17397,15992,17601,16538,17152,16498,15953,11992,11491,10671,10467,--,--,--,7547,
股东权益不含少数股东权益(万元),392428,359878,389870,365734,339920,316345,287711,266798,248041,231261,214104,229399,215332,202973,190021,49014,47185,48987,48968,52892,52627,52662,52572,52603,52117,51998,51918,51826,51453,51237,51178,50993,50744,50561,50514,50254,50164,49821,49782,49498,49330,48852,48484,48489,48348,47992,47929,47863,47649,47357,47298,47331,47048,46643,46555,46885,46633,46139,45815,46331,45843,45488,
净资产收益率加权(%),24.2,15.61,7.64,29.95,22.79,15.67,7.54,28.57,21.37,14.38,6.72,26.2,19.99,14.19,7.71,0.09,-3.71,0.04,-6.83,0.91,0.37,0.17,1.52,1.57,0.65,0.15,1.64,1.46,0.74,0.11,1.52,--,0.67,0,1.67,0,0.98,--,2.2,0,1.29,--,1.84,0,1.31,0,1.76,0,1.19,0,1.58,0,0,0,1.59,0,0,0,3.04,0,0,--,
