报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,
总资产利润率(%),16.23,11.2,5.46,18.73,14.75,10.3,5.3,19.05,14.18,9.57,4.41,15.47,13.01,9.2,4.71,19.99,0.05,-1.76,0.02,-3.49,0.45,0.19,0.09,0.83,0.87,0.37,0.09,0.98,0.85,0.44,0.07,0.92,0.7,0.4,0.06,1.01,0.71,0.59,0.05,1.36,1,0.78,0.06,1.23,1,0.87,0.08,1.16,1.1,0.81,0.08,1.07,1.1,0.71,0.13,1.14,1.66,1.29,0.52,2.29,2.3,1.49,0.9,3.04,3.75,6.51,8.65,5.71,
主营业务利润率(%),83.09,83.34,83.56,83.31,83.51,83.48,83.4,82.64,82.48,82.86,83.07,82.57,82.29,82.02,81.72,83.18,16.38,21.91,29.41,22.23,25.44,28.93,30.72,29.91,31.51,31.27,31.98,27.79,30.05,31.58,31.78,28.13,30.63,32.54,30.66,26.67,27.49,28.44,29.77,25.56,25.72,26.44,23.5,31.64,33.67,35.26,35.81,27.54,28.26,30.01,29.74,28.37,27.73,29.46,27.28,23.73,30.6,32.96,32.05,28.37,32.28,32.38,35.06,27.67,28.89,29.74,35.71,32.1,
总资产净利润率(%),17.16,11.43,5.64,21.8,16.55,11.2,5.55,19.68,14.49,9.69,4.56,19.34,15.38,10.66,5.36,26.78,0.05,-1.78,0.02,-3.54,0.47,0.2,0.09,0.87,0.91,0.38,0.09,1,0.87,0.45,0.07,0.93,0.7,0.4,0.06,1.03,0.71,0.6,0.05,1.37,1.01,0.8,0.06,1.28,1.03,0.87,0.09,1.18,1.11,0.81,0.09,1.11,1.14,0.73,0.13,1.18,1.71,1.32,0.53,2.34,2.33,1.51,0.9,4.39,4.26,6.93,8.89,5.71,
成本费用利润率(%),33.01,31.42,30.91,30.08,28.74,27.7,26.4,26.54,25.66,25.42,24.9,24.95,24.31,24.58,24.82,22.94,0.26,-14.56,0.34,-18.48,3.11,1.92,1.72,3.55,5.44,3.41,1.98,3.82,5.72,4.39,1.64,3.65,4.89,4.44,1.48,4.46,3.47,4.05,1.35,8.13,8.47,10.28,2.15,7.15,8.76,10.92,2.44,6.63,8,9.96,2.71,7.26,9.82,11.05,4.19,9.52,21.11,26.66,24.53,21.93,29.54,31.53,41.57,21.02,19.56,26.26,29.63,21.8,
营业利润率(%),23.4,22.72,21.39,22.58,21.58,20.82,19.36,20.05,19.22,19.13,17.71,18.9,18.13,18.14,17.42,16.94,-24.65,-17.92,0.38,-23.1,1.6,1.95,1.69,1.99,5.11,3.27,1.94,3.11,4.49,4.21,1.61,2.89,4.69,4.27,1.55,4.11,3.62,4.3,1.03,4.79,7.92,9.43,2.14,6.5,8.08,9.89,2.59,6.41,7.62,9.27,2.74,6.93,9.17,10.11,3.71,9.31,17.91,21.73,21.75,19.49,24.6,26.4,33.11,18.32,17.17,22.38,24.35,19.06,
主营业务成本率(%),14.98,14.69,14.4,14.76,14.72,14.74,14.8,15.66,15.82,15.44,15.16,15.7,15.96,16.22,16.51,15.1,83.48,77.95,70.33,77.33,74.1,70.5,68.65,69.44,67.87,68.11,67.63,71.59,69.46,67.96,67.85,71.12,68.56,66.49,68.68,72.63,71.79,70.64,69.28,73.55,73.46,72.63,75.89,67.44,65.41,63.72,63.12,71.93,71.26,69.49,70.06,71.4,72.04,70.23,72.3,75.74,68.84,66.2,67.06,70.75,66.89,66.95,64.17,71.62,69.99,69.12,63,66.8,
销售净利率(%),21.54,20.72,20.73,19.97,19.27,18.7,18.05,18.13,17.66,17.6,17.52,17.39,17.08,17.39,17.62,16.45,0.32,-17.17,0.28,-21.65,2.55,1.58,1.39,3.3,4.34,2.78,1.61,3.58,4.62,3.57,1.35,3.48,3.94,3.6,1.2,3.95,3.96,5.13,1.01,4.99,5.42,6.54,1.41,4.6,5.39,6.59,1.59,4.8,6.07,6.27,1.72,5.1,7.21,6.9,2.82,6.54,12.33,14.96,13.88,12.95,16.36,17.52,22.19,15.53,17.16,14.87,20.77,16.33,
净资产收益率(%),23.12,16.17,7.46,25.54,19.89,13.92,7.27,25.73,20.12,14.32,7.46,22.64,17.59,12.57,6.61,34.95,0.09,-3.78,0.04,-7.08,0.87,0.37,0.17,1.51,1.56,0.65,0.15,1.63,1.45,0.74,0.11,1.51,1.15,0.66,0.09,1.66,1.15,0.97,0.08,2.18,1.62,1.29,0.11,1.84,1.59,1.31,0.13,1.76,1.63,1.18,0.12,1.57,1.64,1.05,0.19,1.59,2.28,1.75,0.7,3.03,2.96,1.93,1.17,3.94,7.3,10.39,13.57,9.8,
股本报酬率(%),112.13,135.67,35.97,171.28,83.47,104.25,26.71,133.99,63.64,84.01,20.28,100.44,48.46,61.68,16.07,79.98,0.32,97.97,0.14,84.1,3.33,105.51,0.66,104.92,5.97,98.91,0.58,97.91,5.46,93.84,0.55,120.2,5.52,112.48,0.45,111.57,5.45,103.01,0.36,103.55,7.58,94.23,0.48,92.4,99.98,95.88,87.59,92.24,88.46,83.63,76.23,80.24,78.89,74.08,68.53,72.07,74.5,69.98,63.21,71.29,69.44,62.57,57.37,67.12,--,--,--,--,
净资产报酬率(%),23.13,30.52,7.47,37.61,19.71,26.43,7.14,38.6,19.77,27.96,7.28,34.22,17.59,23.75,6.61,51.99,0.09,28.63,0.04,23.68,0.87,27.65,0.17,27.52,1.56,26.17,0.15,26.01,1.45,25.15,0.11,24.92,1.15,23.52,0.09,23.43,1.15,21.79,0.08,22.07,1.63,20.26,0.1,20.09,21.87,21.04,19.36,20.42,19.61,18.62,17.08,18,17.68,16.71,15.59,16.42,16.86,15.92,14.53,16.54,15.93,14.51,13.41,15.87,41.09,44.54,46.55,43,
资产报酬率(%),16.23,21.13,5.46,27.8,14.75,19.75,5.3,29.2,14.18,19.07,4.41,23.38,13.01,17.38,4.71,29.74,0.05,13.36,0.02,11.71,0.45,14.64,0.09,15.08,0.87,14.89,0.09,15.68,0.85,15.08,0.07,15.28,0.7,14.22,0.06,14.3,0.71,13.32,0.05,13.72,1,12.32,0.06,12.44,13.75,14,12.13,13.39,13.2,12.77,11.42,12.22,11.82,11.24,10.54,11.78,12.22,11.67,10.72,12.5,12.35,11.21,10.31,12.25,21.09,27.91,29.69,25.04,
销售毛利率(%),85.02,85.31,85.6,--,85.28,85.26,85.2,--,84.18,84.56,84.84,84.3,84.04,83.78,83.49,84.9,16.52,22.05,29.67,22.67,25.9,29.5,31.35,30.56,32.13,31.89,32.37,28.41,30.54,32.04,32.15,28.88,31.44,33.51,31.32,27.37,28.21,29.36,30.72,26.45,26.54,27.38,24.11,31.22,33.06,35.79,35.47,28.07,28.74,30.51,29.94,28.6,27.96,29.77,27.7,24.26,31.16,33.8,32.94,29.25,33.11,33.05,35.83,28.38,30.01,30.88,37,33.2,
三项费用比重(%),59.3,60.17,61.63,60.64,61.71,62.31,63.53,62.59,63.16,63.5,65.12,63.72,64.08,63.43,64.37,65.97,41.03,39.83,29.03,40.95,23.85,26.98,29.03,27.03,26.41,28,30.04,24.1,25.56,27.38,30.16,24.33,25.94,28.27,29.11,22.09,23.87,24.14,28.74,20.16,18.39,17.88,21.71,23.87,25.62,25.37,33.22,24.3,23.99,23.96,30.72,25.08,22.07,22.7,27.8,18.7,17.76,16.75,16.48,16.56,14.95,15.32,14.72,14.43,16.3,14.73,18.18,20.65,
非主营比重(%),7.48,6.63,11.89,3.68,4.81,5.3,8.48,7.03,8.95,8.85,15.25,8.35,10.37,10.05,15.1,11.26,7833.61,-4.37,-10.7,-5.29,47.81,-3.6,0.02,41.51,1.04,0.8,0,14.7,17.79,0.1,0,21.52,-0.6,-0.39,-5.82,9.16,-8.22,-11,23.31,51.71,6.57,8.9,15.46,2.29,0.09,-0.55,-9.01,0.11,0.5,0.89,0.04,-0.68,-1.62,-1.98,11.82,-9.54,3.63,3.92,-5.01,12.38,10.01,15.74,22.74,-0.46,-0.43,8.65,1.87,3.67,
主营利润比重(%),330.24,345.31,346.29,358.19,371.66,382.35,394.29,389.43,398.33,404.2,406.62,407.81,413.82,409.86,398.47,437.95,5137.95,-127.67,8615.46,-101.32,832.36,1536.96,1818.86,868.83,610.78,947.94,1649.7,754.73,549.77,750.17,1968.43,800.47,656.97,765.45,2097.17,626.96,821.45,733.77,2220.14,332.16,327.83,281.33,1113.1,479.64,418.14,358.37,1508.08,429.61,368.78,320.67,1085.35,403.82,299.35,285.97,647.93,262.56,166.32,147.59,154.72,146.71,132.19,123.84,105.89,151.68,169,133.26,146.12,166.31,
