报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
总资产利润率(%),18.73,19.05,15.47,19.99,-3.49,0.83,0.98,0.92,1.01,1.36,1.23,1.16,1.07,1.14,2.29,3.04,6.51,8.65,5.71,
主营业务利润率(%),83.31,82.64,82.57,83.18,22.23,29.91,27.79,28.13,26.67,25.56,31.64,27.54,28.37,23.73,28.37,27.67,29.74,35.71,32.1,
总资产净利润率(%),21.8,19.68,19.34,26.78,-3.54,0.87,1,0.93,1.03,1.37,1.28,1.18,1.11,1.18,2.34,4.39,6.93,8.89,5.71,
成本费用利润率(%),30.08,26.54,24.95,22.94,-18.48,3.55,3.82,3.65,4.46,8.13,7.15,6.63,7.26,9.52,21.93,21.02,26.26,29.63,21.8,
营业利润率(%),22.58,20.05,18.9,16.94,-23.1,1.99,3.11,2.89,4.11,4.79,6.5,6.41,6.93,9.31,19.49,18.32,22.38,24.35,19.06,
主营业务成本率(%),14.76,15.66,15.7,15.1,77.33,69.44,71.59,71.12,72.63,73.55,67.44,71.93,71.4,75.74,70.75,71.62,69.12,63,66.8,
销售净利率(%),19.97,18.13,17.39,16.45,-21.65,3.3,3.58,3.48,3.95,4.99,4.6,4.8,5.1,6.54,12.95,15.53,14.87,20.77,16.33,
净资产收益率(%),25.54,25.73,22.64,34.95,-7.08,1.51,1.63,1.51,1.66,2.18,1.84,1.76,1.57,1.59,3.03,3.94,10.39,13.57,9.8,
股本报酬率(%),171.28,133.99,100.44,79.98,84.1,104.92,97.91,120.2,111.57,103.55,92.4,92.24,80.24,72.07,71.29,67.12,--,--,--,
净资产报酬率(%),37.61,38.6,34.22,51.99,23.68,27.52,26.01,24.92,23.43,22.07,20.09,20.42,18,16.42,16.54,15.87,44.54,46.55,43,
资产报酬率(%),27.8,29.2,23.38,29.74,11.71,15.08,15.68,15.28,14.3,13.72,12.44,13.39,12.22,11.78,12.5,12.25,27.91,29.69,25.04,
销售毛利率(%),--,--,84.3,84.9,22.67,30.56,28.41,28.88,27.37,26.45,31.22,28.07,28.6,24.26,29.25,28.38,30.88,37,33.2,
三项费用比重(%),60.64,62.59,63.72,65.97,40.95,27.03,24.1,24.33,22.09,20.16,23.87,24.3,25.08,18.7,16.56,14.43,14.73,18.18,20.65,
非主营比重(%),3.68,7.03,8.35,11.26,-5.29,41.51,14.7,21.52,9.16,51.71,2.29,0.11,-0.68,-9.54,12.38,-0.46,8.65,1.87,3.67,
主营利润比重(%),358.19,389.43,407.81,437.95,-101.32,868.83,754.73,800.47,626.96,332.16,479.64,429.61,403.82,262.56,146.71,151.68,133.26,146.12,166.31,
