报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,
应收账款周转率(次),2.77,1.89,1,3.85,2.85,1.95,1,3.77,2.79,1.86,0.96,3.64,2.7,1.78,0.93,5.53,1.04,0.73,0.43,0.96,0.92,0.64,0.34,1.4,1.19,0.76,0.32,1.54,0.97,0.66,0.26,1.45,0.92,0.61,0.26,1.39,0.93,0.59,0.24,1.56,1.03,0.68,0.28,1.97,1.57,1.07,0.43,2.1,1.61,1.1,0.43,2.19,1.67,1.12,0.53,2.42,1.84,1.21,0.6,2.68,1.75,1.07,0.52,2.93,1.64,2.79,2.73,2.51,
应收账款周转天数(天),97.54,95.36,90.43,93.55,94.6,92.31,90.16,95.49,96.94,96.86,93.97,99.02,99.99,100.94,96.84,65.08,259.89,245.23,209.89,373.75,293.13,282,268.34,257.44,226.66,235.63,280.02,234.1,278.47,273.27,342.86,248.21,293.54,295.47,341.69,258.53,289.95,304.57,367.8,230.8,261.4,262.89,320.97,182.69,171.54,168.26,206.94,171.06,167.88,163.98,210.33,164.38,161.57,160.71,170.75,148.55,146.95,148.71,148.93,134.2,154.07,168.56,172.61,122.69,109.8,129.03,131.75,143.56,
存货周转率(次),2.93,1.91,0.99,3.68,3.26,2.28,1.12,4.01,3.21,2.19,1.11,4.21,3.75,2.66,1.29,2.59,0.64,0.45,0.26,0.79,0.91,0.6,0.34,1.45,1.2,0.77,0.32,1.75,1.24,0.77,0.31,1.74,1.12,0.71,0.3,2.04,1.43,1.01,0.41,2.27,1.41,0.88,0.33,1.72,1.09,0.71,0.3,1.5,1.11,0.75,0.28,1.59,1.29,0.92,0.46,2.06,1.41,0.9,0.42,2.24,1.69,0.98,0.46,2.44,1.44,2.09,1.81,1.62,
固定资产周转率(次),--,1.97,--,4.03,--,2.59,--,4.23,--,2.05,--,3.55,--,1.81,--,5,--,0.56,--,0.88,--,0.71,--,1.38,--,0.7,--,1.42,--,0.68,--,1.34,--,0.55,--,1.25,--,0.57,--,1.32,--,0.61,--,1.09,0.64,0.42,0.18,0.81,0.59,0.41,0.17,0.74,0.58,0.39,0.17,0.67,0.58,0.36,0.16,0.73,0.58,0.35,0.17,0.97,0.72,1.13,0.97,0.35,
总资产周转率(次),0.8,0.55,0.27,1.09,0.86,0.6,0.31,1.09,0.82,0.55,0.26,1.11,0.9,0.61,0.3,1.63,0.14,0.1,0.07,0.16,0.18,0.12,0.07,0.26,0.21,0.14,0.06,0.28,0.19,0.13,0.05,0.27,0.18,0.11,0.05,0.26,0.18,0.12,0.05,0.27,0.19,0.12,0.05,0.28,0.19,0.13,0.05,0.25,0.18,0.13,0.05,0.22,0.16,0.11,0.05,0.18,0.14,0.09,0.04,0.18,0.14,0.09,0.04,0.28,0.25,0.47,0.43,0.35,
存货周转天数(天),92.07,94.02,90.47,97.78,82.9,78.89,80.02,89.79,84.21,82.18,81.04,85.53,72.03,67.78,69.81,139.26,423.86,401.43,343.51,457.67,296.22,300.35,261.93,248.05,225.73,234.28,285.26,206.3,218.57,233.22,288.83,206.55,240.02,253.09,301.81,176.17,188.55,178.45,220.05,158.91,191.31,204.31,270.19,208.85,248.05,254.96,303.03,239.84,244.01,240.71,317.68,225.89,209.9,195.21,197.41,174.86,192.05,199.51,214.44,160.66,159.99,183.04,195.91,147.31,124.71,171.94,199.34,221.96,
总资产周转天数(天),339.03,326.26,330.64,329.88,314.5,300.5,292.68,331.71,329.03,326.8,345.75,323.8,299.87,293.69,295.57,221.17,1884.16,1737.45,1357.47,2199.14,1482.7,1442.31,1343.28,1366.22,1284.49,1323.53,1567.94,1289.86,1430.08,1428.57,1775.15,1350.34,1516.85,1604.28,1871.1,1379.31,1497.5,1533.22,1898.73,1311,1449.28,1479.05,1973.68,1294.5,1417.32,1369.86,1672.86,1461.04,1481.08,1389.96,1807.23,1660.52,1700.25,1694.92,1898.73,1994.46,1943.84,2045.45,2374.67,1994.46,1898.73,2093.02,2211.3,1272.98,724.64,773.03,841.12,1030.34,
流动资产周转率(次),1.5,1.01,0.48,2.09,1.67,1.17,0.62,2.04,1.52,1.02,0.46,2.04,1.69,1.15,0.56,3.57,0.32,0.24,0.16,0.38,0.41,0.29,0.16,0.63,0.53,0.34,0.14,0.65,0.44,0.29,0.11,0.59,0.4,0.25,0.11,0.6,0.43,0.28,0.11,0.7,0.48,0.32,0.12,0.75,0.51,0.36,0.14,0.63,0.46,0.34,0.12,0.5,0.34,0.23,0.1,0.42,0.31,0.2,0.09,0.35,0.27,0.14,0.06,0.5,0.56,1.17,1.14,95.46,
流动资产周转天数(天),180.45,177.92,186.14,172.34,162.13,153.24,145.26,176.57,177.18,176.56,194.13,176.37,159.54,156.21,159.86,100.95,850.66,756.3,579.52,944.88,653.75,628.71,576.92,568.72,511.46,532.54,627.18,555.9,616.58,616.65,789.47,615.17,681.13,722.6,804.29,596.42,630.99,644.7,788.78,516.43,568.18,561.62,737.1,482.25,528.38,495.87,653.12,573.52,581.65,533.33,750,721.44,792.02,787.4,906.34,858.57,857.42,895.52,1040.46,1020.7,1005.21,1269.39,1399.69,722.75,322.81,307.59,317.18,3.77,
经营现金净流量对销售收入比率(%),0.24,0.25,0.24,0.2,0.19,0.2,0.24,0.17,0.19,0.18,0.19,0.21,0.21,0.19,0.31,0.12,0.32,0.02,0.03,0.17,0.08,0.05,0.03,0,0.07,0.02,0.21,0.22,0.38,0.28,0.62,0.02,0.01,0.05,0.01,0.11,0.06,0.04,-0.06,0.17,0,0.03,0.03,0.02,0.12,0.13,-0.01,0.36,0.24,0.13,-0.3,-0.26,-0.39,-0.49,-1.01,0.02,-0.14,-0.41,-0.66,0.21,0,0.07,--,0.07,0.13,0.24,0,--,
