报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
应收账款周转率(次),3.85,3.77,3.64,5.53,0.96,1.4,1.54,1.45,1.39,1.56,1.97,2.1,2.19,2.42,2.68,2.93,2.79,2.73,2.51,
应收账款周转天数(天),93.55,95.49,99.02,65.08,373.75,257.44,234.1,248.21,258.53,230.8,182.69,171.06,164.38,148.55,134.2,122.69,129.03,131.75,143.56,
存货周转率(次),3.68,4.01,4.21,2.59,0.79,1.45,1.75,1.74,2.04,2.27,1.72,1.5,1.59,2.06,2.24,2.44,2.09,1.81,1.62,
固定资产周转率(次),4.03,4.23,3.55,5,0.88,1.38,1.42,1.34,1.25,1.32,1.09,0.81,0.74,0.67,0.73,0.97,1.13,0.97,0.35,
总资产周转率(次),1.09,1.09,1.11,1.63,0.16,0.26,0.28,0.27,0.26,0.27,0.28,0.25,0.22,0.18,0.18,0.28,0.47,0.43,0.35,
存货周转天数(天),97.78,89.79,85.53,139.26,457.67,248.05,206.3,206.55,176.17,158.91,208.85,239.84,225.89,174.86,160.66,147.31,171.94,199.34,221.96,
总资产周转天数(天),329.88,331.71,323.8,221.17,2199.14,1366.22,1289.86,1350.34,1379.31,1311,1294.5,1461.04,1660.52,1994.46,1994.46,1272.98,773.03,841.12,1030.34,
流动资产周转率(次),2.09,2.04,2.04,3.57,0.38,0.63,0.65,0.59,0.6,0.7,0.75,0.63,0.5,0.42,0.35,0.5,1.17,1.14,95.46,
流动资产周转天数(天),172.34,176.57,176.37,100.95,944.88,568.72,555.9,615.17,596.42,516.43,482.25,573.52,721.44,858.57,1020.7,722.75,307.59,317.18,3.77,
经营现金净流量对销售收入比率(%),0.2,0.17,0.21,0.12,0.17,0,0.22,0.02,0.11,0.17,0.02,0.36,-0.26,0.02,0.21,0.07,0.24,0,--,
资产的经营现金流量回报率(%),0.18,0.18,0.18,0.14,0.03,0,0.06,0.01,0.03,0.05,0.01,0.09,-0.05,0,0.04,0.01,0.11,0,--,
经营现金净流量与净利润的比率(%),0.98,0.94,1.19,0.71,--,0.05,6.03,0.64,2.74,3.37,0.44,7.49,-5.06,0.3,1.58,0.42,1.63,0,--,
经营现金净流量对负债比率(%),0.7,0.74,0.58,0.33,0.05,0,0.15,0.02,0.07,0.12,0.01,0.25,-0.17,0.01,0.15,0.06,0.28,0,--,
现金流量比率(%),73.97,76.82,59.49,34.45,7.12,0.13,15.55,1.68,8.43,14.49,1.69,27.75,-22.82,1.87,24.96,10.31,32.19,0,--,</tr>
