code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000785,武汉中商,1.42,14100.0,,37.49,,35753.53,17416.64,,03-31
600516,方大炭素,2.11,5175.0,,46.62,,362041.86,5267.65,10派19,02-13
000016,深康佳A,2.1,5189.92,,63.26,,505702.52,5185.74,,03-31
600581,八一钢铁,1.52,3075.0,,42.18,,116795.96,3047.86,10转10,03-13
600971,恒源煤电,1.1,2650.0,,17.56,,110474.91,3030.79,10派3.6,03-24
600793,宜宾纸业,0.88,2807.62,,92.96,,9246.47,2809.3,,02-28
600570,恒生电子,0.76,2433.33,,17.54,,47121.9,2476.18,10派2.9,03-27
000717,韶钢松山,1.04,2500.25,,146.69,,251654.74,2381.13,,03-06
002061,浙江交科,0.87,625.0,,26.4,,110680.66,1569.9,,03-31
300122,智飞生物,0.27,1250.0,,15.85,,43227.54,1229.25,10派1.3,03-20
600569,安阳钢铁,0.67,1211.76,,28.4,,160078.15,1198.94,,03-16
600963,岳阳林纸,0.28,833.33,,5.16,,34773.83,1131.86,10派0.38,03-20
000759,中百集团,0.1,945.26,,2.26,,6764.62,946.18,10派0.6,03-28
000557,西部创业,0.06,900.0,,2.19,,8699.48,943.17,,03-22
002016,世荣兆业,1.13,875.28,,44.17,,91298.16,875.09,,03-31
600962,国投中鲁,0.03,832.35,,1.01,,831.59,824.01,,03-29
600282,南钢股份,0.79,779.73,,36.8,,320034.94,804.73,10派0.5,02-13
600528,中铁工业,0.63,447.83,,10.19,,133938.59,697.9,10派1.9,03-28
603299,井神股份,0.32,676.02,,8.7,,17812.61,676.0,10派0.96,03-28
002109,兴化股份,0.29,635.25,,6.39,,20641.3,635.03,,03-31
000990,诚志股份,0.65,122.41,,5.21,,80850.86,629.83,10派1.5,03-16
300016,北陆药业,0.36,620.0,,12.3,,11881.67,625.4,10派0.37,02-28
600753,东方银星,0.15,640.0,,12.48,,1897.5,623.45,,02-28
300618,寒锐钴业,3.91,428.38,,52.67,,44940.48,575.04,,02-13
000537,广宇发展,1.29,92.54,,27.56,,217179.14,528.96,10派1.3,03-21
603612,索通发展,2.66,442.86,,29.69,,54776.78,516.06,10派6.77转4,03-20
600279,重庆港九,0.7,536.36,,13.89,,48328.12,515.96,10派2.1,03-29
000779,三毛派神,0.43,503.69,,30.66,,7925.06,503.07,,03-09
000807,云铝股份,0.25,400.0,,6.86,,65700.1,494.41,10派0.7,03-20
600449,宁夏建材,0.71,488.72,,7.72,,33730.5,485.09,10派2.2,03-24
600490,鹏欣资源,0.16,433.33,,5.61,,30122.94,484.99,,03-15
600567,山鹰纸业,0.44,388.89,,21.54,,201451.83,471.0,10派1.33,03-20
000513,丽珠集团,8.09,308.59,,51.17,,442868.46,464.63,10派20转3,03-24
000959,首钢股份,0.42,451.32,,8.7,,221065.11,451.33,,03-30
600621,华鑫股份,0.77,165.52,,13.47,,77459.31,402.28,10派2.2,03-30
000918,嘉凯城,1.1,400.0,,48.82,,198774.96,398.39,,03-24
002469,三维工程,0.11,450.0,,4.87,,5726.27,386.64,10派0.5,03-16
600673,东阳光科,0.21,377.27,,13.18,,52306.58,377.76,,03-27
002617,露笑科技,0.42,366.67,,12.81,,30838.94,376.18,10派0.2转5,03-06
000039,中集集团,0.81,478.57,10.88,8.0,1.43,250924.2,364.97,10派2.7,03-28
002145,中核钛白,0.24,388.0,,13.98,,38854.9,362.06,10派0.2,03-09
600801,华新水泥,1.39,363.33,,18.98,,207764.06,359.72,10派2.8,03-26
601717,郑煤机,0.17,339.47,,2.72,,28425.08,358.49,10派0.5,03-30
300038,梅泰诺,1.51,165.28,,7.4,,48726.84,350.74,10派1.5转18,03-24
300346,南大光电,0.21,348.61,,2.82,,3383.91,348.28,,03-29
300102,乾照光电,0.3,328.57,,8.1,,21056.03,335.2,10派0.3,03-01
600549,厦门钨业,0.57,320.68,,9.24,,61837.84,320.66,10派2转3,03-30
600260,凯乐科技,1.08,295.17,,19.25,,73958.29,305.85,10派1,03-28
000585,东北电气,-0.45,295.08,,,,-39705.76,299.08,,03-30
300349,金卡智能,1.48,208.33,,12.2,,34814.21,297.38,,03-29
601866,中远海发,0.13,297.14,,10.25,,146189.05,296.61,,03-30
002136,安纳达,0.76,285.23,,27.98,,16376.92,285.24,10派1,03-27
300107,建新股份,0.16,279.29,,9.22,,8707.57,282.7,,03-31
600400,红豆股份,0.34,209.09,,14.18,,60803.74,281.41,10派2转4,03-28
600507,方大特钢,1.92,284.0,,67.67,,253952.66,281.4,10派16,02-09
601225,陕西煤业,1.04,271.43,,26.59,,1044940.0,279.3,10派4.18,03-30
600308,华泰股份,0.58,269.87,,9.86,,67368.16,270.08,10派1.74,03-17
000517,荣安地产,0.17,263.68,,13.72,,54175.58,263.75,10派0.2,03-28
002012,凯恩股份,0.07,250.0,,2.55,,3061.46,252.33,,03-07
000898,鞍钢股份,0.78,247.53,6.91,11.81,,560500.0,246.84,10派2.32,03-27
600720,祁连山,0.74,244.97,,11.24,,57469.18,245.0,10派2.3,03-22
002341,新纶科技,0.34,155.32,,5.18,,17253.05,244.05,10派0.35转10,02-28
601600,中国铝业,0.09,350.0,,3.55,,137843.5,242.47,,03-23
600808,马钢股份,0.54,235.96,,18.92,,412893.99,235.99,10派1.65,03-21
002334,英威腾,0.3,220.69,,12.94,,22585.5,231.81,10派1.5,03-30
600188,兖州煤业,1.38,227.96,,14.0,,677061.8,227.94,10派4.8,03-24
600711,盛屯矿业,0.41,223.81,,14.2,,61033.41,223.67,10派1,03-13
600251,冠农股份,0.11,221.66,,4.42,,8507.35,221.54,10派0.35,03-29
002075,沙钢股份,0.32,219.0,,23.01,,70480.16,220.37,,03-20
600888,新疆众和,0.14,136.05,,3.65,,12060.13,206.97,10派0.5,03-26
600309,万华化学,4.09,140.59,,50.66,,1113479.03,202.62,,03-13
002648,卫星石化,1.04,166.67,,18.33,,94245.68,202.49,10派0.88,03-13
600258,首旅酒店,0.77,7.48,,8.98,,63088.81,199.09,10派0.8转2,03-30
000795,英洛华,0.09,200.0,,5.08,,10274.93,197.13,,03-09
002166,莱茵生物,0.47,193.75,,21.71,,20593.97,195.62,10派0.5,03-30
600731,湖南海利,0.13,196.28,,5.29,,4168.77,194.51,,03-27
603002,宏昌电子,0.13,225.0,,7.39,,7844.94,194.05,10派0.64,03-30
601857,中国石油,0.12,200.0,,1.9,,2279300.0,188.52,10派0.6074,03-23
600769,祥龙电业,0.01,180.0,,11.05,,511.71,185.56,,03-30
300700,岱勒新材,1.66,159.38,,32.98,,11134.73,183.33,,02-28
000615,京汉股份,0.4,185.71,,16.85,,30922.45,183.06,10派0.5,03-28
002265,西仪股份,0.06,200.0,,2.05,,1967.92,180.63,,03-27
000338,潍柴动力,0.85,39.34,,20.25,,680834.25,178.89,10派2.5,03-29
002379,宏创控股,0.04,178.43,,3.21,,3943.14,178.66,,03-10
600316,洪都航空,0.04,177.92,,0.6,,3068.05,177.89,10派0.13,03-17
600050,中国联通,0.02,157.53,,0.49,,42584.47,176.39,10派0.204,03-16
603993,洛阳钼业,0.14,133.33,,9.89,,272779.62,173.32,10派0.76,03-30
603595,东尼电子,2.03,138.82,,37.32,,17336.57,173.27,,03-23
600961,株冶集团,0.11,175.0,,30.36,,5544.96,168.01,,02-07
000877,天山股份,0.3,165.43,,4.33,,26492.52,165.5,10派0.8,03-23
601326,秦港股份,0.18,157.14,,7.8,,96297.08,163.81,10派0.62,03-30
000420,吉林化纤,0.04,55.2,,3.12,,8559.41,163.33,,02-27
601168,西部矿业,0.11,175.0,,2.25,,26064.79,161.17,10派1,03-28
600727,鲁北化工,0.22,144.44,,6.98,,7844.85,160.12,,03-22
300451,创业软件,0.7,125.81,,8.74,,16324.42,159.1,10派1转10,02-06
600190,锦州港,0.07,157.82,,2.4,,14309.91,157.82,10派0.22,02-14
600502,安徽水利,0.6,76.47,,12.45,,78133.97,155.64,10派0.5送2,03-22
600527,江南高纤,0.09,200.0,,4.09,,7005.57,155.22,10派1.5转5,02-08
600328,兰太实业,0.48,148.96,,10.02,,21047.89,152.74,10派1.46,03-22
000695,滨海能源,0.04,150.86,,2.93,,974.84,151.03,,03-16
002596,海南瑞泽,0.18,-18.18,,7.83,,17620.44,150.94,10派0.2,03-28
002383,合众思壮,0.33,-28.94,,6.7,,24192.67,150.83,10派0.5,03-28
000552,靖远煤电,0.24,149.23,,8.4,,55221.1,149.06,10派1,03-27
601007,金陵饭店,0.35,148.2,,7.21,,10347.71,148.57,10派2.4,03-02
600210,紫江企业,0.37,147.3,,12.96,,55480.3,147.81,10派1.5,03-22
002039,黔源电力,1.05,147.17,,14.39,,32034.99,147.16,10派3,03-29
300161,华中数控,0.19,137.75,,2.91,,3287.0,146.8,10派0.2,02-12
603007,花王股份,0.51,-21.54,,18.78,,17068.02,137.23,10派0.52,03-27
600360,华微电子,0.13,116.67,,4.59,,9485.38,133.52,10派0.2,02-10
601012,隆基股份,1.81,110.47,,30.14,,356452.56,130.38,10派1.8,03-29
601678,滨化股份,0.7,133.33,,15.5,,82576.13,130.14,10派2.2转3,03-09
600738,兰州民百,0.18,8.28,,8.42,,14344.61,129.74,10派1,03-20
002586,围海股份,0.22,69.23,,5.97,,21332.4,129.23,10派0.5,03-27
000818,方大化工,0.37,125.2,,10.72,,25554.2,128.01,10派0.8,02-27
600293,三峡新材,0.35,-5.52,,11.31,,40375.24,125.05,10派1.04,03-20
002536,西泵股份,0.72,125.0,,12.42,,24155.21,123.96,10派3,03-28
